regime,repr_mode,arm,dataset,n_train,run_id,n_rare_train,test_split,model,f1_macro,accuracy,precision_macro,recall_macro,n_rare,recall_rare,precision_rare,f1_rare,margin_signed_mean,margin_signed_std,margin_abs_mean,margin_abs_std,rare_margin_signed_mean,rare_margin_signed_std,rare_margin_abs_mean,rare_margin_abs_std
natural,refit_per_N,tuned_per_N,NSL-KDD-K80n8,100,1,1,fixed_300,QSVM_ZZ,0.4508378243449097,0.5233333333333333,0.7409420289855072,0.5718562874251497,30,0.0,0.0,0.0,0.19929265155846346,0.5994136311906069,0.5587375012848922,0.29466365042235376,-0.37518750448773636,0.03519649599241226,0.37518750448773636,0.03519649599241226
natural,refit_per_N,tuned_per_N,NSL-KDD-K80n8,100,1,1,fixed_300,QSVM_Z,0.6606491527771365,0.6733333333333333,0.7688888888888888,0.7042906667867272,30,0.06666666666666667,1.0,0.125,0.45080111271617046,0.6491236655746574,0.6882363845098292,0.38847632549752076,-0.4127660516777772,0.29329939801364435,0.4381034215619503,0.2539010482619946
natural,refit_per_N,tuned_per_N,NSL-KDD-K80n8,100,1,1,fixed_300,SVM_Linear,0.8261722232126939,0.8266666666666667,0.8563822334314137,0.8435459907253162,30,0.1,1.0,0.18181818181818182,0.7314612154241836,0.7931197185410526,1.040220758653237,0.2863829095378189,-0.873020443210825,0.45354822041371323,0.9392336886061993,0.2927640017004559
natural,refit_per_N,tuned_per_N,NSL-KDD-K80n8,100,1,1,fixed_300,SVM_Poly2,0.7683916083916085,0.77,0.8101851851851851,0.7895862410517311,30,0.1,1.0,0.18181818181818182,0.6852133164566766,0.8463723579279582,0.9647979418567745,0.5050033551403608,-0.4780720586260691,0.41211352035955545,0.6012631825928676,0.19202351981048962
natural,refit_per_N,tuned_per_N,NSL-KDD-K80n8,100,1,1,fixed_300,SVM_RBF,0.8194865394901052,0.82,0.849376488720751,0.8367925802530278,30,0.1,1.0,0.18181818181818182,0.5093111186312921,0.6562618270122897,0.7693399909987602,0.31335822855797835,-0.6790638795763801,0.4476290482966866,0.7718852176975717,0.2563059268224089
natural,refit_per_N,tuned_per_N,NSL-KDD-K80n8,100,1,1,fixed_300,RandomForest,0.8262883613202086,0.8266666666666667,0.8534750916941363,0.8427806042051236,30,0.13333333333333333,1.0,0.23529411764705882,0.27315,0.3018625418409291,0.38498333333333334,0.1323621914378204,-0.25699999999999995,0.2491973782633624,0.32333333333333336,0.15363557169122288
natural,refit_per_N,tuned_per_N,NSL-KDD-K80n8,100,1,1,fixed_300,XGBoost,0.7994294883223391,0.8,0.8283592545887628,0.8165323488361622,30,0.06666666666666667,1.0,0.125,0.27889988472064337,0.3614526038684876,0.44713880608479184,0.09219554562756758,-0.3744232416152954,0.23212763265434394,0.4232583403587341,0.12218174585504132
natural,refit_per_N,tuned_per_N,NSL-KDD-K80n8,100,1,1,full_test,QSVM_ZZ,0.42477733481737123,0.4997338537970192,0.7284586655449449,0.5604732556754781,2952,0.0,0.0,0.0,0.18588023812227122,0.6025953057899015,0.5598479897897388,0.2902460918131467,-0.3844200986556194,0.054043274781897355,0.3844200986556194,0.054043274781897355
natural,refit_per_N,tuned_per_N,NSL-KDD-K80n8,100,1,1,full_test,QSVM_Z,0.6318459895852315,0.6410574875798438,0.7175617735725913,0.675925865074887,2952,0.0809620596205962,1.0,0.14979630209965528,0.389031471549047,0.6450903266758622,0.6386035959618835,0.3995903685662844,-0.3877990104800527,0.3106939247227801,0.4109599016520382,0.2793398407372275
natural,refit_per_N,tuned_per_N,NSL-KDD-K80n8,100,1,1,full_test,SVM_Linear,0.7776116858777503,0.77861071682044,0.8213497272591243,0.8032982581792644,2952,0.05013550135501355,1.0,0.09548387096774194,0.6284503057212009,0.8185365435748947,0.9828889587263309,0.3144537402265642,-0.8817909612355438,0.33688981802477797,0.9098897020184492,0.25129818735169956
natural,refit_per_N,tuned_per_N,NSL-KDD-K80n8,100,1,1,full_test,SVM_Poly2,0.713983697172235,0.7150461320085166,0.7500266434468701,0.737632766568896,2952,0.21375338753387535,1.0,0.3522188110521909,0.574966861689641,0.903242612960096,0.9397783458409719,0.5130796922473382,-0.10921097472358378,0.8913549434586255,0.7564533445906754,0.48396178535684625
natural,refit_per_N,tuned_per_N,NSL-KDD-K80n8,100,1,1,full_test,SVM_RBF,0.7766201730790459,0.7768807665010646,0.8042091102047818,0.7968936167819131,2952,0.21747967479674796,1.0,0.3572621035058431,0.43400610751807234,0.6681615768829124,0.7147948335673123,0.35195104786195336,-0.6273755016485127,0.43818958821696896,0.6754707439816406,0.359651788978407
natural,refit_per_N,tuned_per_N,NSL-KDD-K80n8,100,1,1,full_test,RandomForest,0.7805606779153401,0.7811834634492548,0.8171946273838573,0.8039797871411398,2952,0.06808943089430894,1.0,0.12749762131303521,0.23024951206529456,0.3158278429449918,0.3620362402413059,0.1472814480426237,-0.2985535230352303,0.18599552106476086,0.31405487804878046,0.15842371522807228
natural,refit_per_N,tuned_per_N,NSL-KDD-K80n8,100,1,1,full_test,XGBoost,0.7609054307140706,0.7609563520227112,0.7804509461178575,0.777895859553277,2952,0.18868563685636858,1.0,0.3174693644913081,0.2401826264874744,0.3791867103415985,0.4379932853089866,0.09814345312014244,-0.30660862189927074,0.30351858251242686,0.41409975422551315,0.12105275917422299
natural,refit_per_N,tuned_per_N,NSL-KDD-K80n8,100,2,1,fixed_300,QSVM_ZZ,0.7006571779197395,0.71,0.8022727272727272,0.7395209580838323,30,0.0,0.0,0.0,0.4302893187112784,0.4913460329992247,0.5288143344826843,0.3833082592206003,-0.11797091479478308,0.03021328941585878,0.11797091479478308,0.03021328941585878
natural,refit_per_N,tuned_per_N,NSL-KDD-K80n8,100,2,1,fixed_300,QSVM_Z,0.8765555666766757,0.8766666666666667,0.8807719736138349,0.8846292377650713,30,0.6333333333333333,1.0,0.7755102040816326,0.6945069601597674,0.538934993426218,0.8282046244416795,0.2947336847106134,0.15750502558177776,0.6058783684203929,0.5778948771104778,0.24069470582615593
natural,refit_per_N,tuned_per_N,NSL-KDD-K80n8,100,2,1,fixed_300,SVM_Linear,0.8165015180328963,0.8166666666666667,0.8366019061583578,0.8307370221962092,30,0.1,1.0,0.18181818181818182,0.8163059920914736,0.8821731971161872,1.1033316459309854,0.47670148051150746,-0.7514416776058923,0.38388082467373846,0.7944934383532576,0.2842696937926475
natural,refit_per_N,tuned_per_N,NSL-KDD-K80n8,100,2,1,fixed_300,SVM_Poly2,0.7885314685314685,0.79,0.8318865740740741,0.8098464724685966,30,0.06666666666666667,1.0,0.125,0.573006911253784,0.6660526052455327,0.8168170239509674,0.3236864882611691,-0.41970079750920725,0.35165156692805555,0.4873551589091278,0.24958472116193361
natural,refit_per_N,tuned_per_N,NSL-KDD-K80n8,100,2,1,fixed_300,SVM_RBF,0.813034188034188,0.8133333333333334,0.8368807424165474,0.8285083967403539,30,0.1,1.0,0.18181818181818182,0.6319207952052822,0.6687016989709261,0.8739758065675367,0.28749285757058907,-0.5731781480710718,0.5121870808368234,0.6839040522870226,0.35091885453437754
natural,refit_per_N,tuned_per_N,NSL-KDD-K80n8,100,2,1,fixed_300,RandomForest,0.822890559732665,0.8233333333333334,0.8514155336189235,0.8397865922290757,30,0.2,1.0,0.3333333333333333,0.30565936039926067,0.27828212994166357,0.3904814772222736,0.13562007370173884,-0.1470206912496779,0.21343830268290034,0.2199974811622308,0.13701131701419558
natural,refit_per_N,tuned_per_N,NSL-KDD-K80n8,100,2,1,fixed_300,XGBoost,0.8296801772216718,0.83,0.8555555555555555,0.8457746161811714,30,0.26666666666666666,1.0,0.42105263157894735,0.3075445518891017,0.3271611534369859,0.43659866432348887,0.10487934985416747,-0.22157979408899944,0.3104325462943552,0.3380226572354635,0.17665405215504315
natural,refit_per_N,tuned_per_N,NSL-KDD-K80n8,100,2,1,full_test,QSVM_ZZ,0.6366039293059236,0.6519251242015613,0.7719639691219538,0.6936635403863625,2952,0.0013550135501355014,1.0,0.0027063599458728013,0.39206288789999233,0.48999107866497554,0.49136837484731655,0.39033534997442293,-0.12386241285596226,0.049176838488752594,0.1250430321462255,0.04609228649055843
natural,refit_per_N,tuned_per_N,NSL-KDD-K80n8,100,2,1,full_test,QSVM_Z,0.8210842130139284,0.8215489709013485,0.8245133670385845,0.8304165678372237,2952,0.6334688346883469,1.0,0.7756117793446703,0.6081211444427048,0.5672296028087616,0.7586014761867621,0.3407118268392748,0.09184458981957631,0.5766665111390454,0.5220359288778115,0.26164514654219306
natural,refit_per_N,tuned_per_N,NSL-KDD-K80n8,100,2,1,full_test,SVM_Linear,0.7762567985312778,0.7762597586941093,0.7903436361288186,0.7909244107083075,2952,0.21646341463414634,1.0,0.3558897243107769,0.7226497480283175,0.8921689574712977,1.02987839899273,0.507482600971683,-0.5455480516480335,0.5176871321779007,0.6931349071563889,0.29186751097175717
natural,refit_per_N,tuned_per_N,NSL-KDD-K80n8,100,2,1,full_test,SVM_Poly2,0.7466387295015655,0.7476046841731725,0.7853270521606477,0.7709406700524292,2952,0.20799457994579945,1.0,0.34436343241727424,0.4743511837370744,0.6944360870151283,0.7701082538557457,0.3379109376816629,-0.24187775887721355,0.5536282615207148,0.5480428004687737,0.2542797495835172
natural,refit_per_N,tuned_per_N,NSL-KDD-K80n8,100,2,1,full_test,SVM_RBF,0.767598446738168,0.767610007097232,0.7848071432697148,0.7836149076743028,2952,0.21951219512195122,1.0,0.36,0.5322172557889757,0.6917283929457501,0.8094616511163621,0.3263666838677484,-0.5227896320757822,0.5357506981811792,0.671296204557511,0.33120871932096374
