dataset,arm,test_split,n_train,comparison,baseline,baseline_family,metric,mean_delta,median_delta,ci_low,ci_high,raw_p,wilcoxon_p,effect_size_dz,positive_run_fraction,verdict_uncorrected,verdict,n_runs,holm_p
UNSW-NB15,tuned_per_N,full_test,100,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,-0.028081919908988125,-0.015721031968164545,-0.06583580637756409,0.009671966559587838,0.130859375,0.130859375,-0.5320934404072618,0.3,inconclusive,inconclusive,10,0.130859375
UNSW-NB15,tuned_per_N,full_test,100,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,-0.030136387903806135,-0.0007549297067084848,-0.10687851058857381,0.046605734780961534,0.625,0.625,-0.28091838554626747,0.5,inconclusive,inconclusive,10,1.0
UNSW-NB15,tuned_per_N,full_test,100,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,0.019157410486392412,0.03496615935522085,-0.043377289030470945,0.08169211000325577,0.6953125,0.6953125,0.21914850471553096,0.6,inconclusive,inconclusive,10,1.0
UNSW-NB15,tuned_per_N,full_test,100,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,-0.03357357635870657,-0.032358774047115124,-0.08562487763853285,0.018477724921119702,0.232421875,0.232421875,-0.4614118977971178,0.4,inconclusive,inconclusive,10,0.697265625
UNSW-NB15,tuned_per_N,full_test,100,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,-0.08979826508696391,-0.07002051290871009,-0.13774495797535627,-0.04185157219857155,0.001953125,0.001953125,-1.3397755966959652,0.0,classical-favorable,classical-favorable,10,0.00390625
UNSW-NB15,tuned_per_N,full_test,100,QSVM_ZZ_vs_XGBoost,XGBoost,strong_tabular,f1_macro,-0.0901382830437551,-0.08308759837829377,-0.13611844500746015,-0.044158121080050045,0.001953125,0.001953125,-1.4023665971117607,0.0,classical-favorable,classical-favorable,10,0.00390625
UNSW-NB15,tuned_per_N,full_test,500,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,0.01769010486973921,0.02546982537620296,-0.006323310713857826,0.041703520453336244,0.193359375,0.193359375,0.5269862024358319,0.7,inconclusive,inconclusive,10,0.193359375
UNSW-NB15,tuned_per_N,full_test,500,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,0.06319158622072135,0.07858933138948443,-0.009584427379594973,0.13596759982103768,0.064453125,0.064453125,0.6211461079813422,0.8,inconclusive,inconclusive,10,0.193359375
UNSW-NB15,tuned_per_N,full_test,500,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,0.03502971918561195,0.04700680750904146,-0.0024902045924914407,0.07254964296371534,0.083984375,0.083984375,0.6678785298669736,0.7,inconclusive,inconclusive,10,0.193359375
UNSW-NB15,tuned_per_N,full_test,500,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,-0.0005067795052147494,0.0023289818606073154,-0.034542145732310583,0.03352858672188108,0.6953125,0.6953125,-0.010651515145770807,0.5,inconclusive,inconclusive,10,0.6953125
