regime,repr_mode,arm,dataset,n_train,run_id,n_rare_train,test_split,model,f1_macro,accuracy,precision_macro,recall_macro,n_rare,recall_rare,precision_rare,f1_rare,margin_signed_mean,margin_signed_std,margin_abs_mean,margin_abs_std,rare_margin_signed_mean,rare_margin_signed_std,rare_margin_abs_mean,rare_margin_abs_std
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,1,3,fixed_300,QSVM_ZZ,0.6408295678368672,0.69,0.7676151761517616,0.6595959595959596,6,1.0,1.0,1.0,0.3221415661648823,0.769542858740184,0.7717551514432573,0.3168049657280849,0.886960842417526,0.23337232638714614,0.886960842417526,0.23337232638714614
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,1,3,fixed_300,QSVM_Z,0.6629901960784313,0.7066666666666667,0.7853584578730777,0.6774410774410775,6,1.0,1.0,1.0,0.39739799544665677,0.8675661148778623,0.9210947170818868,0.2493604873133025,0.7730712876078512,0.3697124750660815,0.7730712876078512,0.3697124750660815
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,1,3,fixed_300,SVM_Linear,0.6170343137254902,0.6666666666666666,0.7203811999133636,0.6370370370370371,6,1.0,1.0,1.0,2.26414315435166,5.313743616377384,3.0682625924572138,4.893667347472305,1.6138090079493466,0.9230218804873224,1.6138090079493466,0.9230218804873224
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,1,3,fixed_300,SVM_Poly2,0.6331054725215308,0.6833333333333333,0.7563233965672991,0.6528619528619528,6,1.0,1.0,1.0,0.6985880011339486,1.4260133758141222,1.3024678050789567,0.9083594883425395,1.1110171471067083,0.5989786139295956,1.1110171471067083,0.5989786139295956
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,1,3,fixed_300,SVM_RBF,0.629540044047816,0.6766666666666666,0.7340410373325734,0.6474747474747475,6,1.0,1.0,1.0,0.3793110543983618,0.8306727879334646,0.8773857026805912,0.2531570369032564,0.7600266041243616,0.2802939046488986,0.7600266041243616,0.2802939046488986
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,1,3,fixed_300,RandomForest,0.6475,0.6866666666666666,0.7332242225859247,0.6599326599326599,6,0.8333333333333334,1.0,0.9090909090909091,0.19543699300960682,0.34071826996358184,0.3696820001010736,0.13273950627030048,0.3162062716311183,0.21332249851948265,0.36105040730516763,0.1230264117099244
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,1,3,fixed_300,XGBoost,0.6566993382755362,0.6933333333333334,0.7387739414515406,0.6673400673400673,6,1.0,1.0,1.0,0.1984482686718305,0.40163113809245754,0.4367743026216825,0.09958662055533708,0.42733360330263775,0.11236298210918018,0.42733360330263775,0.11236298210918018
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,1,3,full_test,QSVM_ZZ,0.6447116357213857,0.6899018607588787,0.754144528571868,0.6605749855122925,1682,0.9827586206896551,1.0,0.991304347826087,0.3461103237417457,0.7734251417448277,0.7878619806292579,0.3118530191653846,0.9010863134539046,0.25787277763952826,0.9216736937710793,0.17021314858684786
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,1,3,full_test,QSVM_Z,0.6672986601700872,0.7091531846669582,0.7830852604962852,0.6802254549617119,1682,0.9797859690844233,1.0,0.9897897897897898,0.4280066241227098,0.8694253148124567,0.9366310178621152,0.2486209659466309,0.9463891911089376,0.24202424749794596,0.9656719489803298,0.14732930590112603
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,1,3,full_test,SVM_Linear,0.6397245814105251,0.6863673905650294,0.751112333360119,0.6566798097400321,1682,0.985731272294887,1.0,0.9928143712574851,2.4444442844753276,5.628533522968183,3.252644643686203,5.203460416009732,2.0470209246271374,1.888294517884611,2.2783716366387194,1.6015534763143622
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,1,3,full_test,SVM_Poly2,0.6540004060473747,0.6986469416508769,0.7704499463560008,0.6691472749993441,1682,0.9827586206896551,1.0,0.991304347826087,0.7094017018478092,1.3494320241457147,1.266754238721962,0.8482636742514157,1.4292286817319095,0.5039130292291774,1.4645341756442383,0.38956721381824333
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,1,3,full_test,SVM_RBF,0.6541241656147267,0.698246125443327,0.7679516271928528,0.6689521905652233,1682,0.9839476813317479,1.0,0.9919089002097693,0.4062460247457633,0.8335014826912509,0.8934384688251606,0.24804889980324707,0.9584883263117951,0.23087196332239202,0.971990835043286,0.16503197179994591
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,1,3,full_test,RandomForest,0.6768857017119337,0.7088859738619249,0.7526469768881476,0.6840437767247527,1682,0.964922711058264,1.0,0.9821482602118004,0.19807056864479963,0.3427840239866165,0.37359562335095087,0.13099292910972732,0.410665858975184,0.15550786108066708,0.42796537661375,0.098360454480248
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,1,3,full_test,XGBoost,0.6734378010448177,0.7066997036389253,0.7523051326219801,0.6813803529992536,1682,0.9684898929845422,1.0,0.9839927514346118,0.2041523282675929,0.4008152277847177,0.4388712518474963,0.09860549813780947,0.45357375727538973,0.15093782001762043,0.47189367271065,0.07633963882701857
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,2,3,fixed_300,QSVM_ZZ,0.6641623961391114,0.7,0.7483825507654859,0.674074074074074,6,0.8333333333333334,1.0,0.9090909090909091,0.387532100609558,0.6655910699526312,0.6922455143720528,0.3376221989670063,0.5045678738130398,0.5425440262072878,0.6228618135231185,0.4012305084513361
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,2,3,fixed_300,QSVM_Z,0.5867609006295138,0.6433333333333333,0.688572719060524,0.6124579124579125,6,0.8333333333333334,1.0,0.9090909090909091,0.31978434316945964,0.9139597967808986,0.9217518207572035,0.2965773376353699,0.8120740148901356,0.5558712337205515,0.9540541572299078,0.24132488311428327
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,2,3,fixed_300,SVM_Linear,0.5102812303110144,0.62,0.7742897504316434,0.5784511784511784,6,1.0,1.0,1.0,0.2887452137820286,1.009851473030895,1.0274869093763712,0.21781746285569173,1.1844899471698018,0.1838331100466681,1.1844899471698018,0.1838331100466681
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,2,3,fixed_300,SVM_Poly2,0.5361344537815126,0.6166666666666667,0.6730769230769231,0.5808080808080809,6,1.0,1.0,1.0,0.3036796607326221,1.0082109681683726,0.9752793090653622,0.39691430055703164,0.959381830043252,0.24440995251833225,0.959381830043252,0.24440995251833225
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,2,3,fixed_300,SVM_RBF,0.6198108014695529,0.67,0.7283372365339578,0.6400673400673401,6,0.8333333333333334,1.0,0.9090909090909091,0.3544441257943627,0.8472794883016949,0.8648077101281457,0.30922612132519633,0.6789310062229962,0.4642196016649906,0.7766400334716684,0.2706980018213994
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,2,3,fixed_300,RandomForest,0.6820409232035312,0.7166666666666667,0.7748640248640248,0.6905723905723906,6,0.8333333333333334,1.0,0.9090909090909091,0.19903333333333334,0.3081172377881871,0.3278333333333333,0.16454727453092488,0.23666666666666666,0.2665312155993907,0.28833333333333333,0.2095564098014873
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,2,3,fixed_300,XGBoost,0.6716254540026867,0.7066666666666667,0.7579911600794311,0.6808080808080809,6,1.0,1.0,1.0,0.18993625919024149,0.35191143463084257,0.37665984749794007,0.13433093337704807,0.30968063076337177,0.17819346000910505,0.30968063076337177,0.17819346000910505
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,2,3,full_test,QSVM_ZZ,0.6518746816477194,0.684776271680513,0.7156937795918032,0.6604284927299133,1682,0.9274673008323424,1.0,0.9623689080814312,0.3736058474636382,0.6925689373429279,0.7077926493621922,0.34389333773742176,0.8005967990798942,0.4185542513121267,0.8668733817369908,0.25430972459640805
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,2,3,full_test,QSVM_Z,0.6358523775417952,0.6794684934168974,0.729834918801599,0.6511128610300939,1682,0.9482758620689655,1.0,0.9734513274336283,0.383268891580215,0.8845604102299897,0.9126171537466592,0.3105995706479982,0.9197781838365469,0.39766409507055633,0.976958350393858,0.2228923990755471
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,2,3,full_test,SVM_Linear,0.5234998656126156,0.626852256716708,0.7730769622906022,0.5857195787952428,1682,0.995243757431629,1.0,0.9976162097735399,0.2970159433382126,1.0039792207077924,1.0275303477343907,0.2009331498159432,1.2440617818284663,0.23976586063882857,1.2517404962263117,0.19576290517154568
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,2,3,full_test,SVM_Poly2,0.5755542199989404,0.6466622941262207,0.7273991445034957,0.611503171794401,1682,0.9827586206896551,1.0,0.991304347826087,0.3555586422900016,0.979474754689417,0.965915266579505,0.39089696976268157,0.9485533648252398,0.2667965001147775,0.9684510420960875,0.18175928437848987
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,2,3,full_test,SVM_RBF,0.6318254775111114,0.6777437691298644,0.732116926291748,0.6486475110953184,1682,0.9589774078478003,1.0,0.9790591805766312,0.3870762038252511,0.8230691909110142,0.8527467859253174,0.31637604158456734,0.9196901480006794,0.34604882371448625,0.9593809001157045,0.21252775163933674
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,2,3,full_test,RandomForest,0.6977382454492727,0.7209590438711558,0.749200020994041,0.7000792078145383,1682,0.9363852556480381,1.0,0.9671476819158735,0.1996101758732935,0.3040759416618804,0.32369716513627755,0.16591125908889956,0.390166468489893,0.18304053303934809,0.40964328180737214,0.13388835475607724
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,2,3,full_test,XGBoost,0.6920665393846455,0.7175095952970898,0.7495317027610344,0.6955434285428108,1682,0.9322235434007135,1.0,0.9649230769230769,0.19819717769631084,0.3422778342938348,0.3691004606907954,0.14213052808423485,0.4069498372170077,0.18598013455479445,0.4335779487271655,0.11048503445042691
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,3,3,fixed_300,QSVM_ZZ,0.5311936530833032,0.61,0.6536544850498339,0.5747474747474748,6,0.8333333333333334,1.0,0.9090909090909091,0.314667197382751,0.6783682709168768,0.6527065333396449,0.3649289484697141,0.6620156030086423,0.5347569844718549,0.7772473193208164,0.34657797921525973
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,3,3,fixed_300,QSVM_Z,0.7306133726284767,0.74,0.7446082905038667,0.7286195286195286,6,0.5,1.0,0.6666666666666666,0.44936606412714863,0.8041074647936604,0.8744394851417207,0.2896105339090672,0.22992190849130853,0.8236429787912405,0.818617881986412,0.24721772551432092
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,3,3,fixed_300,SVM_Linear,0.7275079045702788,0.7366666666666667,0.7404306220095693,0.7255892255892256,6,0.5,1.0,0.6666666666666666,0.7132701176012499,1.1097658035853744,1.1568477677222126,0.6340643829979142,0.7054622659013345,1.8556642104131416,1.8548801215112032,0.7075213108037512
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,3,3,fixed_300,SVM_Poly2,0.6797240699679724,0.6966666666666667,0.7052696078431373,0.6804713804713804,6,0.5,1.0,0.6666666666666666,0.5028407097634341,0.9581163179611032,1.0283745131557636,0.3365731998100599,0.22350165027970795,0.90229875488612,0.8997784404612252,0.23344118922752438
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,3,3,fixed_300,SVM_RBF,0.723706023208694,0.7333333333333333,0.7374033334934436,0.7218855218855218,6,0.5,1.0,0.6666666666666666,0.46208939056552195,0.765730743753192,0.8550202767861786,0.26231756152899577,0.18103806976798933,0.8690702976179643,0.8664694296857371,0.19310280248398706
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,3,3,fixed_300,RandomForest,0.7013888888888888,0.7133333333333334,0.7179487179487178,0.7003367003367004,6,0.6666666666666666,1.0,0.8,0.2015662424457311,0.31714131269803414,0.33429036118891375,0.1716319222339163,0.2347037187932063,0.2854191569712528,0.32062054642353677,0.1837182516589297
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,3,3,fixed_300,XGBoost,0.7127644668628275,0.7266666666666667,0.737072214684155,0.7117845117845119,6,0.8333333333333334,1.0,0.9090909090909091,0.21132301410039267,0.3574581102153963,0.39023715813954674,0.14194603641668743,0.313111479083697,0.2894011393984467,0.4184525062640508,0.08178824989223153
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,3,3,full_test,QSVM_ZZ,0.5814813696028208,0.6395812077928388,0.6828076597981236,0.6081030439687019,1682,0.9262782401902497,1.0,0.9617283950617284,0.33062310852640486,0.6597818567759002,0.638991923719773,0.3692059856546494,0.8235456018715447,0.4241506973178306,0.8799503356016081,0.28951438525880546
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,3,3,full_test,QSVM_Z,0.7358023320755515,0.7422751785454016,0.7424361831664666,0.7339515895936526,1682,0.8234244946492271,1.0,0.9031626997065536,0.46703268663629466,0.8055900659183559,0.8873294173709743,0.282385179783118,0.705439039403305,0.7148266434243182,0.9929861687355157,0.1503324221966014
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,3,3,full_test,SVM_Linear,0.7396099722919448,0.7455060000971676,0.7451815110160781,0.7378343023602443,1682,0.8204518430439952,1.0,0.9013716525146963,0.6754202212749887,1.1004499919257356,1.131807456072967,0.6214455265058593,1.7204262411268896,1.3212331491592182,2.0139450979580977,0.8059457971884528
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,3,3,full_test,SVM_Poly2,0.6976488240837464,0.7082422387407084,0.7100971811678292,0.6964319697797152,1682,0.8258026159334126,1.0,0.9045913383262781,0.5215380965330448,0.9274512984348332,1.0163786532398977,0.3148687509773258,0.777002091660114,0.7422025264448274,1.0630197245749347,0.15679893453052257
natural,refit_per_N,tuned_per_N,UNSW-NB15,100,3,3,full_test,SVM_RBF,0.742951261632053,0.748457464898217,0.7478578331731784,0.7412373074565786,1682,0.8210463733650416,1.0,0.9017303297420829,0.47908996978947943,0.7621776714696871,0.8627957012470865,0.256954431659364,0.7269565362783109,0.6820311438007042,0.9858119068251887,0.1476725130602907
