n,V,DBI,inv_DBI,Q_raw,KTA,R_eff,offdiag_mean,offdiag_std,n_cnot_total,Q
2,0.7822413444519043,2.5261953502727463,0.39585220513212993,24,0.1367961876294517,6.47445955471198,0.3189915490388243,0.3148150199785675,4,0.02608695652173913
3,0.8366373181343079,2.4651489697993356,0.40565499783220016,66,0.1470243787511044,11.38090954846227,0.24095128581569278,0.26466769630218,12,0.07173913043478261
4,0.8695725798606873,2.532737153459556,0.3948297590352257,128,0.1478388830486063,16.18168498477477,0.17876193301646734,0.25163057234344766,24,0.1391304347826087
5,0.88919597864151,2.5649039978971544,0.3898781400083019,210,0.1688722847382083,21.284690253886232,0.11882638581814582,0.2379897539039076,40,0.22826086956521738
6,0.9043825268745422,2.6038972954562065,0.38403972451025514,312,0.19858703600360778,38.51592779829304,0.07100589360896946,0.19048784256192833,60,0.3391304347826087
7,0.9188334345817566,2.627600280706399,0.38057538939338287,434,0.16251363089527152,53.53518152169623,0.0493018590090834,0.16234521275504557,84,0.4717391304347826
8,0.9329198598861694,2.660651668348394,0.37584777139231923,576,0.18740002291936256,84.30666469751101,0.03540409191563649,0.14546414763077417,112,0.6260869565217392
9,0.9443849921226501,2.6757834496098294,0.3737223205210479,738,0.1808452099213278,95.98509926736855,0.02975513044864231,0.13804530466049086,144,0.8021739130434783
10,0.955194890499115,2.6949343838828743,0.3710665484030061,920,0.17712197803907603,100.55367608272539,0.027114167446320166,0.13457687145031202,180,1.0
