run_id,model,sat_raw,sat_cal,distinct_frac
1,QSVM,0.0,0.29316004258339246,0.7365152590489709
1,SVM-RBF,0.0,0.343639105748758,0.7365152590489709
1,RandomForest,0.5294535131298793,0.8943843151171044,0.02359829666430092
1,MLP,0.5166341376863024,0.5369056068133428,0.5645848119233499
1,XGBoost,0.6257097232079489,0.8727821149751597,0.1911373314407381
2,QSVM,0.0,0.2543026969481902,0.7364709013484741
2,SVM-RBF,0.0005322924059616749,0.2977288857345635,0.7365152590489709
2,RandomForest,0.5507895670688432,0.8541962384669979,0.039788857345635205
2,MLP,0.5754524485450674,0.6576472675656494,0.5546043293115684
2,XGBoost,0.6182576295244855,0.8810326472675657,0.19251242015613912
3,QSVM,0.0,0.1213626685592619,0.7364265436479773
3,SVM-RBF,0.0,0.2650372604684173,0.7364709013484741
3,RandomForest,0.5353530872959545,0.8506919801277502,0.03331263307310149
3,MLP,0.4237047551454933,0.6130677785663591,0.7036018452803406
3,XGBoost,0.5897799858055358,0.8303317955997161,0.19295599716110717
4,QSVM,0.0,0.14740063875088716,0.7364709013484741
4,SVM-RBF,0.11834634492547906,0.28859119943222145,0.7363378282469837
4,RandomForest,0.5542051100070973,0.9367015613910575,0.01335166784953868
4,MLP,0.5362402413058907,0.6470014194464159,0.5042139815471965
4,XGBoost,0.6310770049680624,0.9758250532292406,0.19588360539389638
5,QSVM,0.0,0.1292583392476934,0.7365152590489709
5,SVM-RBF,0.0,0.2421930447125621,0.7365152590489709
5,RandomForest,0.538014549325763,0.9296043293115684,0.017698722498225693
5,MLP,0.31152413058907025,0.5691980127750177,0.7018718949609652
5,XGBoost,0.6102732434350603,0.8706085876508162,0.20351312987934705
6,QSVM,0.0,0.07039567068843151,0.7365152590489709
6,SVM-RBF,0.0,0.13165365507452093,0.7365152590489709
6,RandomForest,0.5511000709723208,0.9163857345635202,0.03805890702625976
6,MLP,0.4664212207239177,0.5405872959545777,0.5660042583392477
6,XGBoost,0.6144428672817601,0.9134137686302342,0.19087118523775728
7,QSVM,0.0,0.13941625266146204,0.7365152590489709
7,SVM-RBF,0.00026614620298083747,0.27364265436479773,0.7364709013484741
7,RandomForest,0.5227998580553584,0.927874378992193,0.01335166784953868
7,MLP,0.5003548616039745,0.6559616749467707,0.5208924769339958
7,XGBoost,0.6300567778566359,0.9077803406671399,0.18643541518807666
8,QSVM,0.0,0.13134315117104328,0.7365152590489709
8,SVM-RBF,0.0,0.17290631653655075,0.7365152590489709
8,RandomForest,0.5282558552164656,0.8836053938963804,0.01335166784953868
8,MLP,0.43936302342086586,0.6541430092264017,0.5876508161816891
8,XGBoost,0.6136000709723208,0.8960699077359829,0.20426721078779275
9,QSVM,0.0,0.09927253371185238,0.7365152590489709
9,SVM-RBF,0.0,0.1156848828956707,0.7364709013484741
9,RandomForest,0.545333569907736,0.8837828246983677,0.02115862313697658
9,MLP,0.5967885024840313,0.6100514549325763,0.6654542228530873
9,XGBoost,0.6002927608232789,0.870874733853797,0.20054116394606103
10,QSVM,0.0,0.24463271823988644,0.7365152590489709
10,SVM-RBF,0.06595990063875089,0.2854418026969482,0.7363378282469837
10,RandomForest,0.524485450674237,0.8404897090134847,0.02044889992902768
10,MLP,0.45834811923349894,0.6434528034066714,0.5050567778566359
10,XGBoost,0.595679559971611,0.8882185947480482,0.1839070262597587
