run_id,model,bin,conf,acc,size
1,QSVM,0,0.0027609802543174006,0.2626441881100266,2254
1,QSVM,1,0.010163787389670945,0.06921029281277728,2254
1,QSVM,2,0.013408616751056621,0.01730257320319432,2254
1,QSVM,3,0.016939288392344258,0.1668145519077196,2254
1,QSVM,4,0.09686088311838906,0.7107364685004437,2254
1,QSVM,5,0.509905596541647,0.7360248447204969,2254
1,QSVM,6,0.8610671569928938,0.7848269742679681,2254
1,QSVM,7,0.9669056517488331,0.9751552795031055,2254
1,QSVM,8,0.9879751399773257,0.974267968056788,2254
1,QSVM,9,0.9975871511760872,0.9946855624446412,2258
1,SVM-RBF,0,0.009063552335677927,0.22271517302573204,2254
1,SVM-RBF,1,0.014178978377365424,0.02883762200532387,2254
1,SVM-RBF,2,0.044910560221608206,0.1033717834960071,2254
1,SVM-RBF,3,0.06946546604299147,0.21517302573203195,2254
1,SVM-RBF,4,0.402351111397608,0.7067435669920142,2254
1,SVM-RBF,5,0.6958390843361469,0.7573203194321206,2254
1,SVM-RBF,6,0.8909271065037473,0.6898846495119787,2254
1,SVM-RBF,7,0.9866046759754287,0.9804791481810116,2254
1,SVM-RBF,8,0.9948243550757417,0.9946761313220941,2254
1,SVM-RBF,9,0.9970842135534584,0.9924712134632419,2258
1,RandomForest,0,5.784353754266012e-60,0.0026619343389529724,2254
1,RandomForest,1,5.784353754266012e-60,0.003105590062111801,2254
1,RandomForest,2,2.7480484362399926e-20,0.01064773735581189,2254
1,RandomForest,3,2.6022349068366164e-11,0.5652173913043478,2254
1,RandomForest,4,0.0006356438908315021,0.6308784383318545,2254
1,RandomForest,5,0.45771529856798987,0.6481810115350488,2254
1,RandomForest,6,0.9984016389524161,0.8952972493345164,2254
1,RandomForest,7,0.9999999999953271,0.9565217391304348,2254
1,RandomForest,8,1.0,0.9889086069210293,2254
1,RandomForest,9,1.0,0.9902568644818424,2258
1,MLP,0,0.0019208976360429245,0.243566992014197,2254
1,MLP,1,0.003975050503020026,0.009316770186335404,2254
