ece_full,ece_rare,brier_full,brier_rare,auc_pr,f1,run_id,model,repr,n_features
0.15694971033655852,0.5704124583067395,0.16484328487589137,0.5197529884046111,0.9511727527711837,0.8377174192442807,1,RandomForest,pca4,4
0.15920698236120018,0.6371748081831033,0.16671975414810533,0.587245683259927,0.9509659722106808,0.8267764829580303,1,XGBoost,pca4,4
0.18164696755517157,0.6538414566505234,0.18853867455143788,0.6282315898891621,0.9529213745733536,0.8058808222742649,1,RandomForest,k20,20
0.13872384426561005,0.519877323696939,0.1663970931261746,0.4745604922788514,0.9497541059168272,0.8191847339949738,1,XGBoost,k20,20
0.1940084492512112,0.6837719242447441,0.1885680119747438,0.6582824447643798,0.9601535927078132,0.7882541662953391,1,RandomForest,all122,122
0.179427541134151,0.6774375545537731,0.17454692325461527,0.6681596816365317,0.9555295794455049,0.8115079365079365,1,XGBoost,all122,122
0.1883824568877937,0.663891740270939,0.18840841445362344,0.6114473416473304,0.9524137661814345,0.8057510207627486,2,RandomForest,pca4,4
0.14957814407572145,0.46995923326553307,0.15998054182239338,0.41959254997578677,0.9463819453063006,0.8402268178785858,2,XGBoost,pca4,4
0.20833095420831682,0.7221421637194252,0.20550479902625818,0.696837993353177,0.9533263427110746,0.7831622360693953,2,RandomForest,k20,20
0.20707451230773305,0.6845095113587525,0.206632851745554,0.6650185339996053,0.943824832763454,0.7971714687280393,2,XGBoost,k20,20
0.20435446646863373,0.8357659998317126,0.20177599935514096,0.8062371420036357,0.9632934261970623,0.7693571200438016,2,RandomForest,all122,122
0.19688167182711558,0.8611548231604105,0.1989716145573657,0.8535835088744317,0.9244633932386426,0.7878563837160945,2,XGBoost,all122,122
0.18713481765185508,0.7069129099757434,0.19024585982177677,0.6732785986620053,0.9526896392623683,0.8041588240566461,3,RandomForest,pca4,4
0.1854910441811218,0.6834656351800404,0.18552428021390235,0.6419530692524744,0.9537426304178638,0.8032524660090643,3,XGBoost,pca4,4
0.2001429878468542,0.7221029115683456,0.19631127993209985,0.6794723135065558,0.9664415968595194,0.7936855552513915,3,RandomForest,k20,20
0.20412788214501335,0.6312883973116665,0.2123133057527724,0.6146675592262989,0.9489369589840858,0.8039010797631487,3,XGBoost,k20,20
0.19481741516889073,0.8111750565951119,0.1939244706686715,0.7802854641686395,0.9676077473714799,0.7847071332809394,3,RandomForest,all122,122
0.14216464643855575,0.7373882935927062,0.1382671655854238,0.7139363562158297,0.9645269076614457,0.8590871657058645,3,XGBoost,all122,122
