f1,acc,ece_full,mce_full,ece_rare,mce_rare,brier_full,brier_rare,auc_roc,auc_pr,platt_A,platt_B,run_id,model,n_train
0.8158100168453921,0.8011444286728177,0.1252235005834138,0.5029125296263062,0.3570303574620694,0.8297012433838389,0.151532852368901,0.21464105995469687,0.9173541797598375,0.9308905263074638,4.13025,-0.45255,1,QSVM,99
0.7585344057193923,0.7602909865152591,0.15836135071913807,0.4853415460482437,0.42025566359227773,0.8180329247211737,0.18293966587666544,0.25706210120598716,0.8632687866435763,0.8987342688051003,2.26152,-0.23724,1,SVM-RBF,99
0.8033376123234917,0.7961320085166785,0.14106228889967326,0.5520895097743604,0.26642040793364924,0.8977570570028989,0.15803929311872522,0.19731048862085893,0.927759623171208,0.9403144585722714,8.33188,1.4166,1,RandomForest,99
0.7905121010171869,0.7880589070262598,0.11689510702279353,0.471172916627241,0.4866895013397957,0.7590081718386914,0.1352930799837819,0.2848427392520298,0.9357856170981029,0.9503945245143054,1.17258,0.02568,1,MLP,99
0.8379010156375947,0.8215933286018453,0.1343567413465008,0.5057515263980408,0.2163191620048395,0.9667746279899557,0.16275752559176154,0.19693384343456938,0.9284826338182756,0.9456496985252146,7.41868,6.20399,1,XGBoost,99
0.7865537504320774,0.7808729595457772,0.158296290825241,0.5927749988557279,0.3956364863371261,0.90419420588964,0.17033666696374225,0.28388688147471475,0.9074828225741862,0.9255544550112114,4.32796,-0.37182,1,QSVM,200
0.7832078601505679,0.7739088005677786,0.16801269241437614,0.6275812846770382,0.5056313084722187,0.9140578930850328,0.18543997389909792,0.36477671502684567,0.9095977826833612,0.9238192961416536,2.4595,-0.74077,1,SVM-RBF,200
0.7810826621068263,0.7841997870830376,0.19752994111166217,0.7241460329155447,0.5572904348297396,0.9999980139611959,0.207427183904797,0.5318681400571248,0.918550103283739,0.930593435479948,10.25088,-0.44976,1,RandomForest,200
0.7951110527007491,0.7925390347764372,0.12123103822005794,0.3642299602209563,0.49508153980709546,0.7644444638054579,0.14549764040382823,0.2910870542459983,0.9191918677633688,0.9409274354300587,1.34674,-0.02414,1,MLP,200
0.8150831549481311,0.8007452093683464,0.1799866248460913,0.5922771394266427,0.37277567623505725,0.9999286917334805,0.17988409943065262,0.3277761583596316,0.9257665363253461,0.9412163158254059,5.334,0.2701,1,XGBoost,200
