f1,acc,ece_full,mce_full,ece_rare,mce_rare,brier_full,brier_rare,auc_roc,auc_pr,platt_A,platt_B,run_id,model,mix,n_test
0.8023779098838825,0.816857172278859,0.13247911882292837,0.4306456950295954,0.4843346282805095,0.9638650943084385,0.14908908277681962,0.3784422909345179,0.8995861511894131,0.9159361996947468,3.76212,-0.41924,1,QSVM,Balanced_50/50,19422
0.8302182039467965,0.7869299585424394,0.17722340165612877,0.7309600847637889,0.4841291217816368,0.9649016067377322,0.18186713234760396,0.3775395022187031,0.899642273248551,0.9576447566008949,3.76212,-0.41924,1,QSVM,AttackHeavy_30/70,18332
0.8330368140139592,0.8578999475860463,0.09743889369187468,0.2842064253389657,,,0.11045786576293458,,0.9129060891948905,0.9213776190744132,3.76212,-0.41924,1,QSVM,DoS_only,17171
0.8405606436269797,0.8377613016167234,0.08787587380321774,0.27665840543563214,0.39422826326186233,0.79346970184361,0.1299155554270662,0.22511874101506052,0.8937837061248223,0.9084811763176949,2.20748,-0.64489,1,SVM-RBF,Balanced_50/50,19422
0.8868654311039484,0.8468252236526292,0.139126117585483,0.44433133628586624,0.3970891949975632,0.7905540822933368,0.1379579265728509,0.22635170840696966,0.8951785783342061,0.9543428175817248,2.20748,-0.64489,1,SVM-RBF,AttackHeavy_30/70,18332
0.8161008230452675,0.8334401024983985,0.0939875453240686,0.2773079410189954,,,0.12291122380033086,,0.8869580680596862,0.9045268650552193,2.20748,-0.64489,1,SVM-RBF,DoS_only,17171
0.8282748948106592,0.8423952219132942,0.14278800442709558,0.5360452100311278,0.566339530397573,0.9999999999555241,0.15255363899335442,0.5148447650278211,0.9419866995210073,0.9373654301122482,9.76273,-1.52286,1,RandomForest,Balanced_50/50,19422
0.8495090798505518,0.8110408029674886,0.19068278985407255,0.7391623294473073,0.5704124583067395,0.9999999999682488,0.19010176844533583,0.5197529884046111,0.9417427213128455,0.9705941443417171,9.76273,-1.52286,1,RandomForest,AttackHeavy_30/70,18332
0.852902051389764,0.877642536835362,0.1052703309288242,0.4181712287552392,,,0.1120844621362407,,0.9536258321248147,0.940948816367625,9.76273,-1.52286,1,RandomForest,DoS_only,17171
0.8269055409537092,0.8338482133662857,0.0880661218805993,0.3474726357758141,0.48455623426777567,0.8482610019367935,0.1251581261352517,0.300061094403386,0.8996112085783096,0.9204758817206791,1.15675,0.19456,1,MLP,Balanced_50/50,19422
0.8596114131580056,0.8182958760637137,0.1322369548086682,0.4723664391584797,0.48731607517182296,0.8451545890356504,0.14081257132897243,0.30234234207099436,0.9005713824805562,0.9596224532122908,1.15675,0.19456,1,MLP,AttackHeavy_30/70,18332
