run_id,model,ece_rare,one_minus_mean_p,abs_dev,ece_full,acc_bin_std
1,QSVM,0.4841291217816368,0.4841291217816368,0.0,0.14135466359422075,0.37613119851679383
1,SVM-RBF,0.3970891949975632,0.39708919499756323,5.551115123125783e-17,0.10101108763489187,0.3677751375760856
1,RandomForest,0.5704124583067395,0.5704124583067395,0.0,0.15694971033655852,0.3966445152825485
1,MLP,0.48731607517182296,0.48731607517182285,1.1102230246251565e-16,0.10745700022027375,0.371300107913712
1,XGBoost,0.6371748081831033,0.6371748081831035,1.1102230246251565e-16,0.15920698236120018,0.3891195148873916
2,QSVM,0.5521834445526119,0.5521834445526119,0.0,0.14311878885446527,0.3820256643458548
2,SVM-RBF,0.5290522097964723,0.5290522097964722,1.1102230246251565e-16,0.13487152011291975,0.3669379910155411
2,RandomForest,0.6638917402709389,0.663891740270939,1.1102230246251565e-16,0.18838245688779365,0.39294359771951265
2,MLP,0.5793645123068901,0.57936451230689,1.1102230246251565e-16,0.13206549983190058,0.373209430870294
2,XGBoost,0.46995923326553307,0.4699592332655331,5.551115123125783e-17,0.14957814407572145,0.37644620173772875
3,QSVM,0.4945864445212886,0.4945864445212885,5.551115123125783e-17,0.1393665322284186,0.3740631553944449
3,SVM-RBF,0.5860377644115136,0.5860377644115135,1.1102230246251565e-16,0.14670402435767038,0.3834875738304687
3,RandomForest,0.706912909975744,0.706912909975744,0.0,0.18713481765185508,0.39813991075474203
3,MLP,0.5407605744866009,0.5407605744866008,1.1102230246251565e-16,0.11416482265168322,0.3716662873016196
3,XGBoost,0.6834656351800404,0.6834656351800406,1.1102230246251565e-16,0.1854910441811218,0.39576087154838774
4,QSVM,0.6387254310260717,0.6387254310260716,1.1102230246251565e-16,0.1614718848621118,0.3837868042871277
4,SVM-RBF,0.5965390489803236,0.5965390489803237,1.1102230246251565e-16,0.1506542337432579,0.36663096334535916
4,RandomForest,0.7559139692362984,0.7559139692362984,0.0,0.19857646557393657,0.3925160623495617
4,MLP,0.5648979695127522,0.5648979695127522,0.0,0.12805824468755048,0.3797830604671216
4,XGBoost,0.7244476622761036,0.7244476622761036,0.0,0.19328957366280558,0.38952890646663485
5,QSVM,0.5290532197971788,0.5290532197971788,0.0,0.13595646590908328,0.3781858817125819
5,SVM-RBF,0.5221663198119486,0.5221663198119485,1.1102230246251565e-16,0.11778574694526188,0.35600641744919664
5,RandomForest,0.7165303018806687,0.7165303018806688,1.1102230246251565e-16,0.22347113649249734,0.39511128780513505
5,MLP,0.5272897706254585,0.5272897706254585,0.0,0.10777468007198868,0.3855074894672129
5,XGBoost,0.7067676393254915,0.7067676393254916,1.1102230246251565e-16,0.21248691992561752,0.3848201536529148
6,QSVM,0.5445168465962004,0.5445168465962004,0.0,0.14604647087285721,0.3630421085822481
6,SVM-RBF,0.454180198150513,0.4541801981505129,1.1102230246251565e-16,0.12708324102340446,0.3692610099832995
6,RandomForest,0.6493219961436979,0.6493219961436978,1.1102230246251565e-16,0.20542880045630282,0.37517974261200493
6,MLP,0.5402975075167459,0.5402975075167458,1.1102230246251565e-16,0.11661586772920869,0.36641146925703993
6,XGBoost,0.4935672265275634,0.49356722652756335,5.551115123125783e-17,0.14652844315980468,0.39272852003298686
7,QSVM,0.5719982537763896,0.5719982537763897,1.1102230246251565e-16,0.13777630658451995,0.38007875485206744
7,SVM-RBF,0.47301492773357773,0.4730149277335778,5.551115123125783e-17,0.11110509294388968,0.36416699664920454
7,RandomForest,0.5081811558904687,0.5081811558904687,0.0,0.15019181545620827,0.39769072074751244
7,MLP,0.503743258684787,0.503743258684787,0.0,0.10218913867961676,0.37111490750763676
7,XGBoost,0.5308116236107904,0.5308116236107904,0.0,0.17058340284202544,0.39282295114990645
8,QSVM,0.530850718572095,0.530850718572095,0.0,0.13330371591014542,0.37762150781725423
8,SVM-RBF,0.5197721147651814,0.5197721147651815,1.1102230246251565e-16,0.1362467178885608,0.348775265870732
8,RandomForest,0.6842828469629693,0.684282846962969,2.220446049250313e-16,0.1856768878842997,0.3909611944538415
8,MLP,0.5155823674138711,0.5155823674138713,2.220446049250313e-16,0.1158708069167648,0.3765756181067978
8,XGBoost,0.7035922359057728,0.7035922359057727,1.1102230246251565e-16,0.20508422985072186,0.3909073632336726
9,QSVM,0.5592396085761369,0.5592396085761369,0.0,0.15923595804581805,0.3691340363615027
9,SVM-RBF,0.5089751867199725,0.5089751867199725,0.0,0.12614969774519216,0.3557162957943604
9,RandomForest,0.7364069889355671,0.7364069889355669,2.220446049250313e-16,0.21323842712185778,0.3907932816603257
9,MLP,0.5092924830316582,0.5092924830316582,0.0,0.11083165689783084,0.3821452438419776
9,XGBoost,0.6539705039023529,0.6539705039023529,0.0,0.20223230409087015,0.38786397059105465
10,QSVM,0.5082189320234802,0.5082189320234802,0.0,0.12363885730097786,0.38345312783160485
10,SVM-RBF,0.5293568567139698,0.5293568567139697,1.1102230246251565e-16,0.12088792111822458,0.3812069715191735
10,RandomForest,0.5691244529354688,0.5691244529354686,1.1102230246251565e-16,0.12689481481098352,0.40367237892091745
10,MLP,0.5673153398866748,0.5673153398866748,0.0,0.13647273229366103,0.39557330533538265
10,XGBoost,0.6067310332408088,0.6067310332408088,0.0,0.13400284575411567,0.4033752114196897
