run_id,model,threshold,f1_macro,fpr,recall_R2L,recall_U2R
1,QSVM,0.05,0.8599009018339142,0.17959015549376994,0.8741767764298094,0.7761194029850746
1,QSVM,0.1,0.8345125506067061,0.14910925754299248,0.6935875216637781,0.7014925373134329
1,QSVM,0.15,0.8287636753011072,0.1360313047060035,0.6616984402079723,0.7014925373134329
1,QSVM,0.2,0.8250187810266174,0.12748429615899495,0.6422876949740035,0.6268656716417911
1,QSVM,0.25,0.8205476001805767,0.12099680774379569,0.6291161178509532,0.5970149253731343
1,QSVM,0.3,0.8167516081357349,0.11677479147358666,0.6128249566724436,0.5970149253731343
1,QSVM,0.35,0.8114907182333133,0.1131706312429204,0.5996533795493935,0.582089552238806
1,QSVM,0.4,0.8066074842879175,0.10936051899907322,0.5889081455805892,0.5671641791044776
1,QSVM,0.45,0.8009497676633073,0.10637421480794974,0.5712305025996534,0.5522388059701493
1,QSVM,0.5,0.7956342619229415,0.10184327051796932,0.549740034662045,0.5373134328358209
1,QSVM,0.55,0.7906386891355729,0.09772423025435073,0.5310225303292895,0.5074626865671642
1,QSVM,0.6,0.7854817690014755,0.0935022139841417,0.5067590987868285,0.5074626865671642
1,QSVM,0.65,0.7808699172696937,0.08928019771393265,0.48076256499133446,0.47761194029850745
1,QSVM,0.7,0.7735978895240467,0.0856760374832664,0.44540727902946275,0.43283582089552236
1,QSVM,0.75,0.7816138654774771,0.03913088250437648,0.3979202772963605,0.417910447761194
1,QSVM,0.8,0.7701743241593704,0.034393986201215115,0.32616984402079724,0.40298507462686567
1,QSVM,0.85,0.7614729717892792,0.030377921944187005,0.29358752166377816,0.3582089552238806
1,QSVM,0.9,0.7523583849536277,0.025332097621254247,0.2641247833622184,0.29850746268656714
1,QSVM,0.95,0.7259109807521074,0.01513747296879827,0.18440207972270364,0.208955223880597
1,SVM-RBF,0.05,0.7782067619919086,0.3941921532282978,0.9792027729636048,0.9104477611940298
1,SVM-RBF,0.1,0.8497171464951241,0.22335495829471733,0.9535528596187175,0.7761194029850746
1,SVM-RBF,0.15,0.8504717971729222,0.21037998146431883,0.9275563258232236,0.5970149253731343
1,SVM-RBF,0.2,0.8508199529820841,0.199773452785501,0.9109185441941074,0.5373134328358209
1,SVM-RBF,0.25,0.8487494986815542,0.19246215631757801,0.897053726169844,0.4925373134328358
1,SVM-RBF,0.3,0.8431888664988834,0.1855627638760169,0.8651646447140381,0.40298507462686567
1,SVM-RBF,0.35,0.8383918731538591,0.1788693234476367,0.8433275563258232,0.373134328358209
1,SVM-RBF,0.4,0.8384030036650203,0.17155802697971373,0.8287694974003467,0.373134328358209
1,SVM-RBF,0.45,0.8279947667280203,0.16517351457110493,0.7403812824956673,0.3283582089552239
1,SVM-RBF,0.5,0.8188069186318199,0.15642055401091545,0.6613518197573657,0.2537313432835821
1,SVM-RBF,0.55,0.8146210571615026,0.14323962516733602,0.6031195840554593,0.2537313432835821
1,SVM-RBF,0.6,0.8086015650576552,0.12418906394810009,0.5244367417677643,0.13432835820895522
1,SVM-RBF,0.65,0.8006043985740214,0.10585933477499743,0.42599653379549396,0.11940298507462686
1,SVM-RBF,0.7,0.7938163086649802,0.09720935022139841,0.3750433275563258,0.1044776119402985
1,SVM-RBF,0.75,0.7858851939114871,0.08886829368757079,0.3341421143847487,0.08955223880597014
1,SVM-RBF,0.8,0.7762620829871378,0.08299866131191433,0.30675909878682844,0.08955223880597014
1,SVM-RBF,0.85,0.7360380879442318,0.07774688497580064,0.2367417677642981,0.0
1,SVM-RBF,0.9,0.7245926032732142,0.07424570075172485,0.21074523396880415,0.0
1,SVM-RBF,0.95,0.7164124857741483,0.0074142724745134385,0.06031195840554593,0.0
1,RandomForest,0.05,0.8365307345316679,0.08011533312738132,0.5383015597920278,0.3283582089552239
1,RandomForest,0.1,0.8348467859220428,0.07805581299557203,0.5289428076256499,0.3283582089552239
1,RandomForest,0.15,0.8327594089664263,0.07651117289671507,0.5227036395147314,0.3283582089552239
1,RandomForest,0.2,0.831818632637497,0.07414272474513438,0.5168110918544194,0.3283582089552239
1,RandomForest,0.25,0.8309475942416846,0.07342189269900114,0.5136915077989601,0.3283582089552239
1,RandomForest,0.3,0.8303853484211963,0.07249510863968696,0.5109185441941074,0.3283582089552239
1,RandomForest,0.35,0.8301273812874144,0.07187725260014417,0.5088388214904679,0.3283582089552239
1,RandomForest,0.4,0.8294436729564885,0.06961178045515395,0.5008665511265165,0.3283582089552239
1,RandomForest,0.45,0.8271219800872891,0.06837606837606838,0.48700173310225303,0.3283582089552239
1,RandomForest,0.5,0.826910740130932,0.0671403562969828,0.48492201039861355,0.3283582089552239
1,RandomForest,0.55,0.8247803382147789,0.062403459993821436,0.4582322357019064,0.31343283582089554
1,RandomForest,0.6,0.8195840091496274,0.05859334774997425,0.4090121317157712,0.29850746268656714
1,RandomForest,0.65,0.8140961365022847,0.05272371537431778,0.34974003466204506,0.29850746268656714
1,RandomForest,0.7,0.8120952777475873,0.051076099268870356,0.34107452339688044,0.29850746268656714
1,RandomForest,0.75,0.8106710689899996,0.050458243229327564,0.3337954939341421,0.29850746268656714
1,RandomForest,0.8,0.810132566809411,0.04881062712388014,0.3292894280762565,0.29850746268656714
1,RandomForest,0.85,0.809769650256294,0.04685408299866131,0.323050259965338,0.29850746268656714
1,RandomForest,0.9,0.8087342027049649,0.04448563484708063,0.3119584055459272,0.29850746268656714
1,RandomForest,0.95,0.8036618387333119,0.04088147461641438,0.29705372616984405,0.26865671641791045
1,MLP,0.05,0.8515666317898362,0.23221089486149726,0.9698440207972271,0.9402985074626866
1,MLP,0.1,0.8530715821122211,0.21779425393883226,0.9383015597920278,0.8805970149253731
1,MLP,0.15,0.8534001340703925,0.20708474925342396,0.9265164644714038,0.7313432835820896
1,MLP,0.2,0.853695393595969,0.19647822057460612,0.9036395147313692,0.582089552238806
1,MLP,0.25,0.8333371799828055,0.18453300381011226,0.7473136915077989,0.5223880597014925
1,MLP,0.3,0.8303348639886694,0.17001338688085676,0.6967071057192374,0.44776119402985076
1,MLP,0.35,0.8289104907840099,0.15961281021521986,0.6662045060658579,0.43283582089552236
1,MLP,0.4,0.8291252706421699,0.1467408093914118,0.6287694974003466,0.3880597014925373
1,MLP,0.45,0.8302580731119731,0.13860570487076512,0.61421143847487,0.3582089552238806
1,MLP,0.5,0.829545623143284,0.13253012048192772,0.5913344887348354,0.3283582089552239
1,MLP,0.55,0.8278365682168825,0.12583668005354753,0.5573656845753899,0.26865671641791045
1,MLP,0.6,0.8221345279324472,0.1221295438162908,0.5046793760831889,0.22388059701492538
1,MLP,0.65,0.8178287048451031,0.11502419936154876,0.4582322357019064,0.22388059701492538
1,MLP,0.7,0.7888569202181862,0.08598496550303779,0.2076256499133449,0.208955223880597
1,MLP,0.75,0.7593683366176365,0.07136237256719184,0.13310225303292894,0.1044776119402985
1,MLP,0.8,0.7538927651410656,0.02790649778601586,0.08457538994800694,0.05970149253731343
1,MLP,0.85,0.7451797261558883,0.020080321285140562,0.05337954939341421,0.0
1,MLP,0.9,0.7324516236951099,0.01235712079085573,0.04748700173310225,0.0
1,MLP,0.95,0.7260086712310393,0.009370816599732263,0.0415944540727903,0.0
1,XGBoost,0.05,0.8280296885567752,0.11893728761198641,0.551473136915078,0.3582089552238806
1,XGBoost,0.1,0.8265588488748101,0.1163628874472248,0.5403812824956672,0.3582089552238806
1,XGBoost,0.15,0.8251242015613911,0.11399443929564411,0.5268630849220104,0.3283582089552239
1,XGBoost,0.2,0.8133583854632076,0.09813613428071259,0.39168110918544197,0.31343283582089554
1,XGBoost,0.25,0.8257739957704384,0.06590464421789723,0.38648180242634317,0.31343283582089554
1,XGBoost,0.3,0.8257107924275113,0.06157965194109773,0.37712305025996534,0.31343283582089554
1,XGBoost,0.35,0.8254134356060386,0.059211203789517046,0.3712305025996534,0.31343283582089554
1,XGBoost,0.4,0.8242737553762631,0.05715168365770775,0.36221837088388215,0.31343283582089554
1,XGBoost,0.45,0.8238796345275643,0.05612192359180311,0.3566724436741768,0.31343283582089554
1,XGBoost,0.5,0.8222011699068643,0.05560704355885079,0.34904679376083186,0.31343283582089554
1,XGBoost,0.55,0.8148952338788635,0.05488621151271754,0.32339688041594455,0.31343283582089554
1,XGBoost,0.6,0.8138748411500701,0.053959427453403354,0.3195840554592721,0.31343283582089554
1,XGBoost,0.65,0.8111210447494381,0.053238595407270106,0.31091854419410747,0.31343283582089554
1,XGBoost,0.7,0.8100976710821819,0.05262073936772732,0.3025996533795494,0.31343283582089554
1,XGBoost,0.75,0.8098713076024099,0.050870147255689425,0.2994800693240901,0.31343283582089554
1,XGBoost,0.8,0.8086647994574228,0.04932550715683246,0.2925476603119584,0.31343283582089554
1,XGBoost,0.85,0.8073237134563411,0.04819277108433735,0.28908145580589256,0.31343283582089554
1,XGBoost,0.9,0.8045925814623687,0.04633920296570899,0.2755632582322357,0.31343283582089554
