test_set,metric,baseline,family,n_runs,mean_delta,ci_low,ci_high,wilcoxon_p,dz,holm_p,verdict
full_kddtest_plus,brier_full,RandomForest,tree,10,-0.033112467795994055,-0.0452236187647446,-0.02159357962530506,0.001953125,-1.6778902135124407,0.00390625,QSVM-favorable
full_kddtest_plus,brier_full,XGBoost,tree,10,-0.027932479125125965,-0.038941377755999575,-0.01756975627064587,0.001953125,-1.5132823485678928,0.00390625,QSVM-favorable
full_kddtest_plus,auc_pr,SVM-RBF,kernel,10,0.0034808411631760184,0.0004149934889745993,0.006653728739856145,0.083984375,0.6608103348817056,0.083984375,inconclusive
full_kddtest_plus,auc_pr,MLP,neural,10,-0.005028709164937672,-0.008646738156261184,-0.0015497562603033397,0.02734375,-0.823433717414497,0.02734375,baseline-favorable
full_kddtest_plus,auc_pr,RandomForest,tree,10,-0.014850170989598132,-0.019005733581340268,-0.010777165921445899,0.001953125,-2.1651740174424345,0.00390625,baseline-favorable
full_kddtest_plus,auc_pr,XGBoost,tree,10,-0.015904438257480558,-0.020000760974056175,-0.012138363605549988,0.001953125,-2.406082863511572,0.00390625,baseline-favorable
full_kddtest_plus,f1,SVM-RBF,kernel,10,-0.0069425573896515266,-0.03429936669951762,0.02244495198705008,0.4921875,-0.14449011511519547,0.4921875,inconclusive
full_kddtest_plus,f1,MLP,neural,10,-0.023514208810136272,-0.042103251912740496,-0.008142411895187154,0.013671875,-0.8059667186073786,0.013671875,baseline-favorable
full_kddtest_plus,f1,RandomForest,tree,10,-0.0038307479654028365,-0.02051804063899896,0.011209317631940116,0.76953125,-0.14180344730815408,0.76953125,inconclusive
full_kddtest_plus,f1,XGBoost,tree,10,-0.010764932509609837,-0.028317086144093707,0.0038806658206361785,0.322265625,-0.38615883180694405,0.64453125,inconclusive
sample100_cu,ece_rare,SVM-RBF,kernel,10,-0.03893039321968029,-0.08629294734571355,-0.0019343169600263997,0.130859375,-0.5401307877152742,0.130859375,inconclusive
sample100_cu,ece_rare,MLP,neural,10,-0.07859855222410238,-0.12427494569042911,-0.03045014951399307,0.01953125,-0.9837103406525037,0.01953125,QSVM-favorable
sample100_cu,ece_rare,RandomForest,tree,10,-0.18823030140313532,-0.2664292424858296,-0.11346771312283899,0.001953125,-1.4465371853744198,0.00390625,QSVM-favorable
sample100_cu,ece_rare,XGBoost,tree,10,-0.16468864135971445,-0.25771801157064117,-0.06523542379500541,0.01953125,-1.0023795541629825,0.01953125,QSVM-favorable
sample100_cu,brier_rare,SVM-RBF,kernel,10,0.031109663395828397,-0.010712749232176275,0.06595166745669397,0.064453125,0.4806895389898618,0.064453125,inconclusive
sample100_cu,brier_rare,MLP,neural,10,0.0006712054024907488,-0.035531984443625854,0.04212979459604414,0.76953125,0.00993442760633942,0.76953125,inconclusive
sample100_cu,brier_rare,RandomForest,tree,10,-0.262293390152985,-0.33324249706029246,-0.19233986844255624,0.001953125,-2.1645141130955974,0.00390625,QSVM-favorable
sample100_cu,brier_rare,XGBoost,tree,10,-0.2443421029242272,-0.3334346015589815,-0.13993247864039948,0.00390625,-1.4824384483320223,0.00390625,QSVM-favorable
sample100_cu,ece_full,SVM-RBF,kernel,10,-0.0013227219061919232,-0.012023143799344913,0.010476895562090967,0.6953125,-0.06843150633750679,0.6953125,inconclusive
sample100_cu,ece_full,MLP,neural,10,0.0018811833705810188,-0.016701530298239904,0.018376422517305098,0.6953125,0.0632818392925634,0.6953125,inconclusive
sample100_cu,ece_full,RandomForest,tree,10,-0.026032642784297393,-0.04515981206855835,-0.008563112559440682,0.01953125,-0.8512075836453162,0.01953125,QSVM-favorable
sample100_cu,ece_full,XGBoost,tree,10,-0.029128194467299397,-0.04408482335025578,-0.014658021407144466,0.005859375,-1.1586454464418927,0.01171875,QSVM-favorable
sample100_cu,brier_full,SVM-RBF,kernel,10,0.013158212253846297,0.0021249826083526804,0.024004911157656024,0.083984375,0.7020461699793467,0.083984375,inconclusive
sample100_cu,brier_full,MLP,neural,10,0.007339195875879048,-0.004198038322590641,0.019466450054104145,0.431640625,0.3601832349176834,0.431640625,inconclusive
sample100_cu,brier_full,RandomForest,tree,10,-0.024894503009119853,-0.04226807893858132,-0.009122890229802902,0.01953125,-0.8830964541644231,0.01953125,QSVM-favorable
sample100_cu,brier_full,XGBoost,tree,10,-0.029911727589803438,-0.04671661581530149,-0.013720843516883846,0.009765625,-1.0575132743363027,0.01953125,QSVM-favorable
sample100_cu,auc_pr,SVM-RBF,kernel,10,0.004293854199203928,-0.007261418882400322,0.014869601116573431,0.431640625,0.2288200377072852,0.431640625,inconclusive
sample100_cu,auc_pr,MLP,neural,10,0.012300589809593098,0.0005077607664450985,0.024486482094958302,0.10546875,0.5948735836925525,0.10546875,inconclusive
sample100_cu,auc_pr,RandomForest,tree,10,-0.01762530371476616,-0.02874617063015067,-0.006736779753473498,0.02734375,-0.935102670468524,0.0546875,inconclusive
sample100_cu,auc_pr,XGBoost,tree,10,-0.014722010397112994,-0.028602571475628513,-0.0032190591628515957,0.064453125,-0.6790091887424303,0.064453125,inconclusive
sample100_cu,f1,SVM-RBF,kernel,10,-0.02210554620791978,-0.05654781239479946,0.014702426616637275,0.130859375,-0.3721011076682768,0.130859375,inconclusive
sample100_cu,f1,MLP,neural,10,-0.015592631893675523,-0.04487147817992476,0.00730895480057517,0.431640625,-0.34744408761712936,0.431640625,inconclusive
sample100_cu,f1,RandomForest,tree,10,-0.020868418507664955,-0.05009475245577515,0.006913144590013276,0.203125,-0.42621176586423654,0.40625,inconclusive
sample100_cu,f1,XGBoost,tree,10,-0.01375624729231909,-0.0421728025573849,0.00899562868884043,0.4921875,-0.31926268915250566,0.4921875,inconclusive
