run_id,model,calibrator,category,mean_prob
2,RandomForest,isotonic,DoS,0.803844319248826
2,RandomForest,isotonic,Probe,0.873836247353948
2,RandomForest,isotonic,R2L,0.39319502729099653
2,RandomForest,isotonic,U2R,0.22894867149105902
2,RandomForest,temperature,Normal,0.0909949483104183
2,RandomForest,temperature,DoS,0.8044891021633417
2,RandomForest,temperature,Probe,0.8708853213518146
2,RandomForest,temperature,R2L,0.38920462277864093
2,RandomForest,temperature,U2R,0.22767073304663327
2,MLP,platt,Normal,0.11359639658947476
2,MLP,platt,DoS,0.7986243870592474
2,MLP,platt,Probe,0.8915456666376849
2,MLP,platt,R2L,0.42410546110590236
2,MLP,platt,U2R,0.2712194683512291
2,MLP,isotonic,Normal,0.11375232231409249
2,MLP,isotonic,DoS,0.8018599339219892
2,MLP,isotonic,Probe,0.905288156536017
2,MLP,isotonic,R2L,0.37138036749545744
2,MLP,isotonic,U2R,0.25005509840609497
2,MLP,temperature,Normal,0.11127039512983176
2,MLP,temperature,DoS,0.7966637119618031
2,MLP,temperature,Probe,0.8890756892587532
2,MLP,temperature,R2L,0.4143489200886516
2,MLP,temperature,U2R,0.2631468418203867
2,XGBoost,platt,Normal,0.10637138147746433
2,XGBoost,platt,DoS,0.8388848823797549
2,XGBoost,platt,Probe,0.889237994749291
2,XGBoost,platt,R2L,0.5366023951792156
2,XGBoost,platt,U2R,0.24749900459864507
2,XGBoost,isotonic,Normal,0.10727711633134251
2,XGBoost,isotonic,DoS,0.8393448054559592
2,XGBoost,isotonic,Probe,0.8887940603701123
2,XGBoost,isotonic,R2L,0.5373425868395992
2,XGBoost,isotonic,U2R,0.2580049281556718
2,XGBoost,temperature,Normal,0.10748277885672679
2,XGBoost,temperature,DoS,0.8394341648727754
2,XGBoost,temperature,Probe,0.8903471514430839
2,XGBoost,temperature,R2L,0.5431470552409575
2,XGBoost,temperature,U2R,0.25156968547256675
3,QSVM,platt,Normal,0.08402158669322293
3,QSVM,platt,DoS,0.7694947011315595
3,QSVM,platt,Probe,0.6945753411170056
3,QSVM,platt,R2L,0.5043470435203243
3,QSVM,platt,U2R,0.5513372420450837
3,QSVM,isotonic,Normal,0.08735924049112516
3,QSVM,isotonic,DoS,0.7628982631911853
3,QSVM,isotonic,Probe,0.7067254101884841
3,QSVM,isotonic,R2L,0.5088055061174507
3,QSVM,isotonic,U2R,0.5605921407747987
3,QSVM,temperature,Normal,0.07976498012593172
3,QSVM,temperature,DoS,0.7634389888850829
3,QSVM,temperature,Probe,0.6877748935013506
3,QSVM,temperature,R2L,0.49462951044872605
3,QSVM,temperature,U2R,0.5372074923959957
3,SVM-RBF,platt,Normal,0.12697130063866038
3,SVM-RBF,platt,DoS,0.7174269872167391
3,SVM-RBF,platt,Probe,0.85239908306025
3,SVM-RBF,platt,R2L,0.4127393445555688
3,SVM-RBF,platt,U2R,0.4666195584238244
3,SVM-RBF,isotonic,Normal,0.11714561222618403
3,SVM-RBF,isotonic,DoS,0.7407316387061379
3,SVM-RBF,isotonic,Probe,0.847659666887789
3,SVM-RBF,isotonic,R2L,0.4750752887497584
3,SVM-RBF,isotonic,U2R,0.4930300046912976
3,SVM-RBF,temperature,Normal,0.11694962824703238
3,SVM-RBF,temperature,DoS,0.7074628389653108
3,SVM-RBF,temperature,Probe,0.8379491111344513
