run_id,model,reliability,resolution,uncertainty,brier
1,QSVM,0.052746001604207095,0.14148169754525042,0.2452054941309316,0.15646979818988827
1,SVM-RBF,0.020738513579226223,0.13526634030193938,0.2452054941309316,0.13067766740821846
1,RandomForest,0.07656870819558961,0.15733041263013298,0.2452054941309316,0.16444378969638823
1,MLP,0.02248813726523793,0.1378722373641585,0.2452054941309316,0.12982139403201104
1,XGBoost,0.07043458094922984,0.1514199921920341,0.2452054941309316,0.16422008288812734
2,QSVM,0.04728327646790388,0.1459495008435961,0.2452054941309316,0.1465392697552394
2,SVM-RBF,0.040760047527181056,0.13465219018112476,0.2452054941309316,0.15131335147698788
2,RandomForest,0.09183387447410452,0.1544098656770336,0.2452054941309316,0.1826295029280025
2,MLP,0.04057442774014115,0.1392934942984439,0.2452054941309316,0.14648642757262886
2,XGBoost,0.05599177683054641,0.1417193920029365,0.2452054941309316,0.15947787895854149
3,QSVM,0.04726055431062692,0.13993087378084504,0.2452054941309316,0.15253517466071348
3,SVM-RBF,0.05741490054841958,0.14706722716263515,0.2452054941309316,0.15555316751671602
3,RandomForest,0.1020448601821956,0.15851938403651616,0.2452054941309316,0.188730970276611
3,MLP,0.03113321571544946,0.13814424807235143,0.2452054941309316,0.1381944617740296
3,XGBoost,0.0973057399460086,0.15663180556024614,0.2452054941309316,0.18587942851669403
4,QSVM,0.06390740576717362,0.14729750049600557,0.2452054941309316,0.16181539940209966
4,SVM-RBF,0.057374523894430846,0.13442521081009834,0.2452054941309316,0.1681548072152641
4,RandomForest,0.10981417878971457,0.15407337671750213,0.2452054941309316,0.20094629620314403
4,MLP,0.051368956420968385,0.14424143533169667,0.2452054941309316,0.15233301522020332
4,XGBoost,0.09484859126379523,0.15173464790485316,0.2452054941309316,0.18831943748987368
5,QSVM,0.04521576531312588,0.14303110487028872,0.2452054941309316,0.14739015457376875
5,SVM-RBF,0.03345408586371919,0.12675101009088735,0.2452054941309316,0.15190856990376345
5,RandomForest,0.1333114688516738,0.1561172179142727,0.2452054941309316,0.2223997450683327
5,MLP,0.03353743479399348,0.14862258388163424,0.2452054941309316,0.13012034504329084
5,XGBoost,0.11125913100781207,0.14809320404873094,0.2452054941309316,0.20837142109001272
6,QSVM,0.0568312693527825,0.13183560799502494,0.2452054941309316,0.17020115548868914
6,SVM-RBF,0.03967256883100866,0.136360625891637,0.2452054941309316,0.14851743707030327
6,RandomForest,0.09423116122908066,0.14076572711805124,0.2452054941309316,0.19867092824196103
6,MLP,0.02844560737179622,0.13426647191791768,0.2452054941309316,0.13938462958481013
6,XGBoost,0.07333215332500265,0.1542392528534726,0.2452054941309316,0.16429839460246165
7,QSVM,0.05205506103407383,0.1444658165143611,0.2452054941309316,0.1527947386506443
7,SVM-RBF,0.033246134069066687,0.13262513094960832,0.2452054941309316,0.14582649725038996
7,RandomForest,0.06051036931345903,0.15815960596208592,0.2452054941309316,0.14755625748230472
7,MLP,0.02243923131119503,0.13773436119800261,0.2452054941309316,0.129910364244124
7,XGBoost,0.07437708497204508,0.15431421265154174,0.2452054941309316,0.16526836645143494
8,QSVM,0.048587546846580086,0.14260448940426862,0.2452054941309316,0.15118855157324307
8,SVM-RBF,0.0386893896793258,0.12165546349043713,0.2452054941309316,0.16223942031982028
8,RandomForest,0.09478739422627977,0.15285374610973945,0.2452054941309316,0.1871391422474719
8,MLP,0.029478975178452684,0.14181696333983895,0.2452054941309316,0.13286750596954533
8,XGBoost,0.10439323500404206,0.15281357469701218,0.2452054941309316,0.19678515443796146
9,QSVM,0.06488241149810797,0.13626551876877985,0.2452054941309316,0.17382238686025972
9,SVM-RBF,0.03707750702486534,0.12654449288255007,0.2452054941309316,0.15573850827324687
9,RandomForest,0.12888694565648154,0.15272394647179047,0.2452054941309316,0.22136849331562267
9,MLP,0.04168025201130208,0.14604200479283824,0.2452054941309316,0.14084374134939542
9,XGBoost,0.10453851447385322,0.15044435809899082,0.2452054941309316,0.199299650505794
10,QSVM,0.03523324519751639,0.14710548584185731,0.2452054941309316,0.13333325348659067
10,SVM-RBF,0.03351713933115697,0.14532562933997903,0.2452054941309316,0.13339700412210953
10,RandomForest,0.05595144094529206,0.16295500041490146,0.2452054941309316,0.1382019346613222
10,MLP,0.05375711698196267,0.15648306666724549,0.2452054941309316,0.14247954444564878
10,XGBoost,0.06149278777238778,0.16271561965180986,0.2452054941309316,0.14398266225150952
