ece_full,ece_rare,brier_full,brier_rare,auc_pr,run_id,model,calibrator,temperature
0.18611524508631058,0.4788523241363118,0.1448057298125016,0.25893084312196246,0.9324929791402831,1,QSVM,none,
0.14135466359422075,0.4841291217816368,0.1600697845804377,0.3775395022187031,0.9324929791402831,1,QSVM,platt,
0.14333448651374364,0.5103855869892087,0.16477734604469854,0.3967219644548667,0.9192186572937886,1,QSVM,isotonic,
0.12942783707795083,0.4406962767430615,0.15159229259689824,0.33617464198751984,0.9324929791402831,1,QSVM,temperature,0.27059449267495234
0.09730500687911513,0.37398372747760045,0.12194379554022992,0.16434174716378025,0.9270103509611404,1,SVM-RBF,none,
0.10101108763489187,0.3970891949975632,0.13227460367616356,0.22635170840696966,0.9270103509611404,1,SVM-RBF,platt,
0.1072620738416301,0.43026473006914634,0.13492977813271725,0.2655857017429495,0.9142374199619148,1,SVM-RBF,isotonic,
0.07772102469814389,0.29524652782108135,0.12419760545425394,0.14323181372071245,0.9270103509611404,1,SVM-RBF,temperature,0.46345756882481515
0.11717298291876485,0.5508017281746032,0.130554833630187,0.39685961776562473,0.9540237094682638,1,RandomForest,none,
0.15694971033655852,0.5704124583067395,0.16484328487589137,0.5197529884046111,0.9511727527711837,1,RandomForest,platt,
0.15079358118224553,0.5697390190041502,0.15995453343701146,0.5112746160131306,0.8772268519903427,1,RandomForest,isotonic,
0.13870884527581534,0.5177203319048521,0.15844222067851702,0.476490261337478,0.9117160701703451,1,RandomForest,temperature,0.13543908596371387
0.10745398899383951,0.5219496715139851,0.1308069551817443,0.32635067874570184,0.9362516244021972,1,MLP,none,
0.10745700022027375,0.48731607517182296,0.1301073188698934,0.30234234207099436,0.9362516244021972,1,MLP,platt,
0.1250341251818978,0.5404893374790131,0.14019815784706988,0.36940851682824627,0.9237148115578373,1,MLP,isotonic,
0.11358538193744354,0.5233837148285991,0.13346335898359005,0.33723772001484476,0.9360274696686328,1,MLP,temperature,0.8682959060618438
0.1276019368665173,0.6001226608950625,0.14717547595500946,0.4816969037055969,0.9509659722106808,1,XGBoost,none,
0.15920698236120018,0.6371748081831033,0.16671975414810533,0.587245683259927,0.9509659722106808,1,XGBoost,platt,
0.15275441961325598,0.6379066767438426,0.17361843015686945,0.6184919507871164,0.8596477883466156,1,XGBoost,isotonic,
0.15160231420603804,0.6134287915567551,0.16294088590577444,0.5579647975161836,0.9272765595985166,1,XGBoost,temperature,0.3057765382019547
0.2090215248734622,0.54992493547024,0.15145736478127017,0.3426940206254825,0.925812512380229,2,QSVM,none,
0.14311878885446527,0.5521834445526119,0.14929655333265307,0.46481819667889496,0.925812512380229,2,QSVM,platt,
