f1,acc,ece_full,mce_full,ece_rare,mce_rare,brier_full,brier_rare,auc_roc,auc_pr,platt_A,platt_B,run_id,model,test_set,n_test,n_rare
0.814498933901919,0.8070440028388929,0.14135466359422075,0.6138755853820547,0.4841291217816368,0.9649016067377322,0.1600697845804377,0.3775395022187031,0.9002152345382666,0.9324929791402831,3.76212,-0.41924,1,QSVM,full_kddtest_plus,22544,2952
0.8603478600742622,0.8415099361249113,0.10101108763489187,0.30439245559440625,0.3970891949975632,0.7905540822933368,0.13227460367616356,0.22635170840696966,0.8950894318893238,0.9270103509611404,2.20748,-0.64489,1,SVM-RBF,full_kddtest_plus,22544,2952
0.8377174192442807,0.8319730305180979,0.15694971033655852,0.630242794441023,0.5704124583067395,0.9999999999682488,0.16484328487589137,0.5197529884046111,0.942325175279278,0.9511727527711837,9.76273,-1.52286,1,RandomForest,full_kddtest_plus,22544,2952
0.8408987837559266,0.8288236337828248,0.10745700022027375,0.3296731033119615,0.48731607517182296,0.8451545890356504,0.1301073188698934,0.30234234207099436,0.9008608306272743,0.9362516244021972,1.15675,0.19456,1,MLP,full_kddtest_plus,22544,2952
0.8267764829580303,0.8246096522356281,0.15920698236120018,0.5905048272848616,0.6371748081831033,0.9999992867638794,0.16671975414810533,0.587245683259927,0.9352066468785507,0.9509659722106808,3.33589,-0.4455,1,XGBoost,full_kddtest_plus,22544,2952
0.7766990291262136,0.77,0.14850822159138202,0.6578375999498014,0.4391690139957626,0.9549462520241293,0.18786336401211792,0.34480139965542167,0.8737824675324676,0.9197777446330498,3.76212,-0.41924,1,QSVM,sample100_cu,100,10
0.8256880733944955,0.81,0.13445492250761157,0.4917681959954997,0.4881661764025004,0.9053731277537239,0.16125447219560435,0.32854044518245684,0.8530844155844157,0.909813134647626,2.20748,-0.64489,1,SVM-RBF,sample100_cu,100,10
0.8163265306122449,0.82,0.1853304737107782,0.6999997555793255,0.6841784611643679,0.999999999999997,0.18327356914940643,0.6334873241814468,0.9293831168831169,0.9443802731570899,9.76273,-1.52286,1,RandomForest,sample100_cu,100,10
0.8,0.79,0.16030798013207095,0.5988100710283615,0.5622800832247412,0.8622851836101892,0.16199340569148532,0.37730725520173136,0.8429383116883117,0.9063149626298156,1.15675,0.19456,1,MLP,sample100_cu,100,10
0.7835051546391752,0.79,0.20301926596271166,0.6999999725637316,0.8023149968309975,0.9999999773267993,0.2025929361553327,0.7484147512044161,0.926948051948052,0.9413982107054667,3.33589,-0.4455,1,XGBoost,sample100_cu,100,10
