run_id,model,ece_before,ece_after,delta
1,QSVM,0.18611524508631058,0.14135466359422075,0.044760581492089835
1,SVM-RBF,0.09730500687911513,0.10101108763489187,-0.0037060807557767472
1,RandomForest,0.11717298291876485,0.15694971033655852,-0.03977672741779367
1,MLP,0.10745398899383951,0.10745700022027375,-3.0112264342435635e-06
1,XGBoost,0.12760192692468708,0.15920698236120018,-0.031605055436513096
2,QSVM,0.2090215248734622,0.14311878885446527,0.06590273601899693
2,SVM-RBF,0.11304177804716525,0.13487152011291975,-0.0218297420657545
2,RandomForest,0.12458932151235824,0.1883824568877937,-0.06379313537543546
2,MLP,0.12369766202667912,0.13206549983190058,-0.008367837805221462
2,XGBoost,0.13147624200198824,0.14957814407572145,-0.018101902073733217
3,QSVM,0.19017783361015805,0.1393665322284186,0.05081130138173945
3,SVM-RBF,0.18265583298411023,0.14670402435767038,0.035951808626439846
3,RandomForest,0.1302369474192268,0.18713481765185508,-0.05689787023262827
3,MLP,0.09969208281723066,0.11416482265168322,-0.014472739834452561
3,XGBoost,0.13379110074536404,0.1854910441811218,-0.05169994343575776
4,QSVM,0.23067489845545178,0.1614718848621118,0.06920301359333997
4,SVM-RBF,0.1146498136994257,0.1506542337432579,-0.0360044200438322
4,RandomForest,0.1480805752750178,0.19857646557393657,-0.050495890298918766
4,MLP,0.1211448051666273,0.12805824468755048,-0.006913439520923173
4,XGBoost,0.15745062395335385,0.19328957366280558,-0.03583894970945173
5,QSVM,0.1838941136232004,0.13595646590908328,0.047937647714117126
5,SVM-RBF,0.10495519897747682,0.11778574694526188,-0.012830547967785058
5,RandomForest,0.15050284123393268,0.22347113649249734,-0.07296829525856466
5,MLP,0.09708606376553679,0.10777468007198868,-0.01068861630645189
5,XGBoost,0.1598868214441739,0.21248691992561752,-0.05260009848144362
6,QSVM,0.21076953088201844,0.14604647087285721,0.06472306000916123
6,SVM-RBF,0.14549941337554015,0.12708324102340446,0.01841617235213569
6,RandomForest,0.12451964685708093,0.20542880045630282,-0.08090915359922189
6,MLP,0.10870925441824401,0.11661586772920869,-0.007906613310964677
6,XGBoost,0.11485014774292877,0.14652844315980468,-0.031678295416875904
7,QSVM,0.19001221694331136,0.13777630658451995,0.05223591035879141
7,SVM-RBF,0.0853916918726921,0.11110509294388968,-0.025713401071197572
7,RandomForest,0.12285527945351318,0.15019181545620827,-0.02733653600269509
7,MLP,0.09984072727248082,0.10218913867961676,-0.0023484114071359447
7,XGBoost,0.13389127411043458,0.17058340284202544,-0.03669212873159086
8,QSVM,0.18703864171790371,0.13330371591014542,0.053734925807758294
8,SVM-RBF,0.10329720699937432,0.1362467178885608,-0.032949510889186476
8,RandomForest,0.13967273817127987,0.1856768878842997,-0.04600414971301983
8,MLP,0.09609905733750065,0.1158708069167648,-0.019771749579264142
8,XGBoost,0.1641053973188582,0.20508422985072186,-0.04097883253186366
9,QSVM,0.19511345983211487,0.15923595804581805,0.03587750178629681
9,SVM-RBF,0.095418183980905,0.12614969774519216,-0.030731513764287163
9,RandomForest,0.1419440263681887,0.2132384271218576,-0.07129440075366889
9,MLP,0.1093553488366128,0.11083165689783084,-0.0014763080612180401
9,XGBoost,0.1620498592976619,0.20223230409087015,-0.04018244479320823
10,QSVM,0.18592532727595795,0.12363885730097786,0.062286469974980094
10,SVM-RBF,0.128772221793147,0.12088792111822458,0.007884300674922434
10,RandomForest,0.10577089334578169,0.1268948148109836,-0.021123921465201922
10,MLP,0.12106290270628997,0.13647273229366103,-0.015409829587371054
10,XGBoost,0.107119797106978,0.13400284575411567,-0.02688304864713767
