model,n_runs,f1_macro_mean,f1_macro_ci95_low,f1_macro_ci95_high,accuracy_mean,accuracy_ci95_low,accuracy_ci95_high,kta_mean,kta_ci95_low,kta_ci95_high,n_support_vectors_mean
QSVM_ZZ,10,0.8468879064131374,0.8321345233726464,0.8616412894536284,0.8470000000000001,0.8321958862089146,0.8618041137910856,0.20748605707997864,0.19833702706309098,0.2166350870968663,235.6
QSVM_Z,10,0.835527882179773,0.8240952280389282,0.8469605363206179,0.8356666666666666,0.8243112841856004,0.8470220491477327,0.06967887588451588,0.06306540966876219,0.07629234210026957,278.6
SVM_Linear,10,0.8136549450229463,0.8026696530352725,0.8246402370106202,0.8140000000000001,0.8028835865778673,0.8251164134221328,,,,
SVM_Poly2,10,0.8326574103039611,0.8193997153696223,0.8459151052382999,0.833,0.8196784078190772,0.8463215921809227,,,,
SVM_RBF,10,0.8361862893419358,0.8266332681934959,0.8457393104903758,0.8363333333333334,0.8267654811437173,0.8459011855229495,,,,
RandomForest,10,0.8446361084671292,0.83582845961884,0.8534437573154184,0.8446666666666667,0.8358729802700959,0.8534603530632374,,,,
XGBoost,10,0.8503104503853265,0.8411510462614226,0.8594698545092304,0.8503333333333334,0.8411702263923216,0.8594964402743451,,,,
