model,f1_macro_mean,f1_macro_ci95_low,f1_macro_ci95_high
SVM_Linear,0.8136549450229463,0.8026696530352725,0.8246402370106202
SVM_Poly2,0.8326574103039611,0.8193997153696223,0.8459151052382999
SVM_RBF,0.8361862893419358,0.8266332681934959,0.8457393104903758
RandomForest,0.8446361084671292,0.83582845961884,0.8534437573154184
XGBoost,0.8503104503853265,0.8411510462614226,0.8594698545092304
