model,condition,n_runs,mean,std
QSVM_Z,ideal_finite_shot,3,0.8283188914760409,0.023353654374623316
QSVM_Z,ideal_statevector,3,0.8294302692186982,0.029786118959081728
QSVM_Z,realistic_noisy_simulator,3,0.8215232748085762,0.034026624525357506
QSVM_ZZ,ideal_finite_shot,3,0.853270162832742,0.006602616709442091
QSVM_ZZ,ideal_statevector,3,0.8588108361006043,0.010639043771703926
QSVM_ZZ,realistic_noisy_simulator,3,0.864230605530798,0.008095250817730548
