run_id,seed,model,f1_macro,accuracy,kta,n_support_vectors,elapsed_sec
1,100,QSVM_ZZ,0.8731924360400445,0.8733333333333333,0.20294951563087482,223.0,10.719325542449951
1,100,QSVM_Z,0.8197997775305895,0.82,0.06683673292640963,273.0,7.821121454238892
1,100,SVM_Linear,0.8227642095172276,0.8233333333333334,,,0.008742094039916992
1,100,SVM_Poly2,0.84622927438046,0.8466666666666667,,,0.009293556213378906
1,100,SVM_RBF,0.8497980618386942,0.85,,,0.012097835540771484
1,100,RandomForest,0.836664851831687,0.8366666666666667,,,0.3822946548461914
1,100,XGBoost,0.853307254623044,0.8533333333333334,,,0.2086331844329834
2,101,QSVM_ZZ,0.8598442714126808,0.86,0.20048838800266608,217.0,9.99179458618164
2,101,QSVM_Z,0.8330662393162394,0.8333333333333334,0.08270313758805775,269.0,8.080042362213135
2,101,SVM_Linear,0.7833116644997833,0.7833333333333333,,,0.011454105377197266
2,101,SVM_Poly2,0.8429406850459482,0.8433333333333334,,,0.012737751007080078
2,101,SVM_RBF,0.836664851831687,0.8366666666666667,,,0.015504598617553711
2,101,RandomForest,0.8566650740563784,0.8566666666666667,,,0.4688260555267334
2,101,XGBoost,0.856626840789108,0.8566666666666667,,,0.14838385581970215
3,102,QSVM_ZZ,0.8431922063190205,0.8433333333333334,0.22480613779634212,235.0,10.119536399841309
3,102,QSVM_Z,0.8432898027229786,0.8433333333333334,0.07897280296123473,269.0,7.812201261520386
3,102,SVM_Linear,0.8164198533584041,0.8166666666666667,,,0.009206056594848633
3,102,SVM_Poly2,0.8232370957521318,0.8233333333333334,,,0.008702993392944336
3,102,SVM_RBF,0.82,0.82,,,0.011768579483032227
3,102,RandomForest,0.8499983333148147,0.85,,,0.37641358375549316
3,102,XGBoost,0.8433176650998433,0.8433333333333334,,,0.12166166305541992
4,103,QSVM_ZZ,0.8333036984352773,0.8333333333333334,0.2080150787815601,220.0,9.981194972991943
4,103,QSVM_Z,0.8633318147979422,0.8633333333333333,0.06400513495359292,271.0,7.8965277671813965
4,103,SVM_Linear,0.8227642095172276,0.8233333333333334,,,0.009269237518310547
4,103,SVM_Poly2,0.8461126722868995,0.8466666666666667,,,0.009287118911743164
4,103,SVM_RBF,0.8197997775305895,0.82,,,0.013734817504882812
4,103,RandomForest,0.8399715504978662,0.84,,,0.38248753547668457
4,103,XGBoost,0.8566650740563784,0.8566666666666667,,,0.12119770050048828
5,104,QSVM_ZZ,0.8432479905726451,0.8433333333333334,0.20020300766837004,252.0,10.038092851638794
5,104,QSVM_Z,0.822890559732665,0.8233333333333334,0.05968788187117713,308.0,7.830479621887207
5,104,SVM_Linear,0.786628733997155,0.7866666666666666,,,0.008532285690307617
5,104,SVM_Poly2,0.7864293659621802,0.7866666666666666,,,0.008864879608154297
5,104,SVM_RBF,0.8399715504978662,0.84,,,0.013547182083129883
5,104,RandomForest,0.8265973055889022,0.8266666666666667,,,0.383556604385376
5,104,XGBoost,0.8333036984352773,0.8333333333333334,,,0.12749838829040527
6,105,QSVM_ZZ,0.8199679943100995,0.82,0.23419065616496668,254.0,9.937995672225952
6,105,QSVM_Z,0.8097442116623461,0.81,0.0713891455170115,289.0,7.87434720993042
6,105,SVM_Linear,0.8230009684852668,0.8233333333333334,,,0.009051799774169922
6,105,SVM_Poly2,0.8463320119371075,0.8466666666666667,,,0.009588479995727539
6,105,SVM_RBF,0.8529149581030486,0.8533333333333334,,,0.013371467590332031
6,105,RandomForest,0.8399715504978662,0.84,,,0.37740015983581543
6,105,XGBoost,0.8599751066856329,0.86,,,0.12303352355957031
7,106,QSVM_ZZ,0.8531701890989989,0.8533333333333334,0.20800921614377543,240.0,10.186614751815796
7,106,QSVM_Z,0.8432898027229786,0.8433333333333334,0.06634388074661009,263.0,7.744038820266724
7,106,SVM_Linear,0.8227642095172276,0.8233333333333334,,,0.008623123168945312
7,106,SVM_Poly2,0.8429406850459482,0.8433333333333334,,,0.008447408676147461
7,106,SVM_RBF,0.8566650740563784,0.8566666666666667,,,0.013054609298706055
7,106,RandomForest,0.8566650740563784,0.8566666666666667,,,0.3879508972167969
7,106,XGBoost,0.8633196652998634,0.8633333333333333,,,0.12076997756958008
8,107,QSVM_ZZ,0.8465575520370041,0.8466666666666667,0.19176746956329901,238.0,10.181219577789307
8,107,QSVM_Z,0.8332666399893291,0.8333333333333334,0.07623959697534635,294.0,7.7865309715271
8,107,SVM_Linear,0.8197115384615384,0.82,,,0.00899815559387207
8,107,SVM_Poly2,0.8362573099415205,0.8366666666666667,,,0.010413646697998047
8,107,SVM_RBF,0.8296801772216718,0.83,,,0.013596773147583008
8,107,RandomForest,0.8365195342474894,0.8366666666666667,,,0.3865675926208496
8,107,XGBoost,0.8399928885728254,0.84,,,0.12340879440307617
9,108,QSVM_ZZ,0.8166646296069957,0.8166666666666667,0.1981388898544723,253.0,10.054090976715088
9,108,QSVM_Z,0.8332666399893291,0.8333333333333334,0.07709043469480013,284.0,7.795089960098267
9,108,SVM_Linear,0.8227642095172276,0.8233333333333334,,,0.008419513702392578
9,108,SVM_Poly2,0.8328579069352826,0.8333333333333334,,,0.009046077728271484
9,108,SVM_RBF,0.8265973055889022,0.8266666666666667,,,0.011654138565063477
9,108,RandomForest,0.836664851831687,0.8366666666666667,,,0.40736818313598633
9,108,XGBoost,0.8299829982998299,0.83,,,0.12744498252868652
10,109,QSVM_ZZ,0.8797380962986059,0.88,0.20629249341420483,224.0,10.048609733581543
10,109,QSVM_Z,0.8533333333333334,0.8533333333333334,0.05352000284371616,266.0,7.855209827423096
10,109,SVM_Linear,0.8164198533584041,0.8166666666666667,,,0.00859975814819336
10,109,SVM_Poly2,0.8232370957521318,0.8233333333333334,,,0.00852346420288086
10,109,SVM_RBF,0.82977113675052,0.83,,,0.012953758239746094
10,109,RandomForest,0.866642958748222,0.8666666666666667,,,0.38034510612487793
10,109,XGBoost,0.8666133119914632,0.8666666666666667,,,0.12197375297546387
