kernel,kta,f1_macro,accuracy,precision,recall,n_sv,sv_ratio,sv_class0,sv_class1,fit_time_s
quantum,0.15941541513014215,0.7505439054117164,0.7566666666666667,0.7577295585770162,0.7484848484848485,244,0.488,117,127,0.004000186920166016
rbf,0.19697899630898155,0.7649008105324437,0.7666666666666667,0.7644220027704545,0.7656565656565657,251,0.502,123,128,0.008093595504760742
poly,0.04505390625682723,0.7649008105324437,0.7666666666666667,0.7644220027704545,0.7656565656565657,239,0.478,119,120,0.003999233245849609
linear,0.08162641354911324,0.7441077441077442,0.7466666666666667,0.7441077441077442,0.7441077441077442,255,0.51,127,128,0.004036903381347656
