Config,F1-macro,Std,Time_s
(1) Baseline: tat ca features,0.9557509574872762,0.010629794863718824,0.21994471549987793
(2) PCA 95% variance -- nguong co dinh,0.9504499952981386,0.01047082837697423,0.18881487846374512
(3) SelectKBest only (K=20),0.9337007671527753,0.01054181545049266,0.18861818313598633
(4) PCA only (4D) -- khong co SelectKBest,0.8577157409135211,0.008583450909216566,0.18854546546936035
(5) SelectKBest (K=20) + PCA (4D)  [C1 pipeline],0.8988600230091788,0.009147866141531815,0.188338041305542
