K,f1_mean,f1_std,time_s
4,0.8596278412263503,0.009950436520263737,3.4276018142700195
6,0.8613552504125292,0.009274889716597389,2.360135793685913
8,0.8615769210252597,0.00796918560649069,2.0589165687561035
10,0.8612058363839923,0.008725854151765656,0.34361696243286133
12,0.867264944558317,0.00784734842401059,0.2593398094177246
15,0.8989800082200492,0.006581522228130934,0.2915043830871582
20,0.9533655230011238,0.002977744580123949,0.2290647029876709
25,0.9552823701708746,0.003307059778332556,0.2399914264678955
30,0.9548601432190736,0.0029501220753819124,0.2846057415008545
40,0.9558680428303035,0.0047997884625765085,0.22912311553955078
50,0.9576849401712693,0.0034744781570714063,0.2293720245361328
70,0.9595203439227682,0.0034956984239371985,0.29119396209716797
100,0.9599542438544988,0.0027563625392879165,0.3041510581970215
