kernel,f1_macro,accuracy,kta,n_sv,sv_ratio,margin_mean,margin_std
quantum,0.8578753076292043,0.8585858585858586,0.21616816865598815,59,0.59,0.9709613165088288,0.23145112259134398
quantum_z,0.8068193488754236,0.8080808080808081,0.07638114819298467,62,0.62,0.8956882508042923,0.34804924074707555
linear,0.7877921812799837,0.7878787878787878,0.06509101515115244,37,0.37,1.2740887666458938,0.6316185791344137
poly,0.8181632653061224,0.8181818181818182,0.13164337565327452,36,0.36,1.6110784558286182,1.1223675778756232
rbf,0.8444211629125196,0.8484848484848485,0.28965875732181295,34,0.34,1.4072741317305062,0.5942190678090354
