baseline,chi2_mean,chi2_std,p_value_mean,p_value_std
SVM-Linear (mm),2.566255246223667,1.9071555268694484,0.19924522025638192,0.1947092830471241
SVM-Linear (std),2.40076125089009,1.1711109320957167,0.16553351635503719,0.15012869032373988
SVM-Poly2 (mm),0.8650213627375338,0.5518244270842677,0.4023299861469399,0.20237465119789025
SVM-Poly2 (std),1.4829675606125192,2.6041324451515275,0.4877330949885682,0.3044118906151334
SVM-RBF (mm),1.623552646550666,1.0106594393604573,0.2740132630909303,0.22970936831252603
SVM-RBF (std),1.8817059585413376,1.826524280255524,0.38130186635177976,0.4041755595169432
