model_name,slope_mean,slope_std
QSVM (ZZ),-0.8354147492746,0.1611214604229407
SVM-RBF (mm),-0.012673567736492272,0.052694897821420165
SVM-RBF (std),-0.22910297885280229,0.046844334477310276
SVM-Poly2 (mm),0.04329178895408008,0.03462198887198263
SVM-Poly2 (std),-0.1495676178495921,0.09977477004088701
SVM-Linear (mm),-0.023391591464015964,0.013454714531878208
SVM-Linear (std),-0.04318120833483411,0.030467645667379924
