model_name,f1_standard_mean,f1_standard_std,f1_hard_mean,f1_hard_std,drop_abs_mean,drop_abs_std,drop_pct_mean,drop_pct_std
QSVM (ZZ),0.8537753356500781,0.015725416532580545,0.6216793470674327,0.013686128405660476,0.23209598858264552,0.01880071345374257,27.16912942885932,1.885900031944454
SVM-RBF (mm),0.8131983164451398,0.01668860672258228,0.5960934028742698,0.018460290441087632,0.2171049135708701,0.011276954880068472,26.7028700797576,1.3930801725056579
SVM-RBF (std),0.8383929200266422,0.013331395177399008,0.6269973828977168,0.03567464762653317,0.21139553712892542,0.02292409762779007,25.25212782677068,3.144258812501494
SVM-Poly2 (mm),0.8122086547512473,0.019311320988974597,0.59735033560647,0.009008589671605338,0.21485831914477713,0.011517243728115469,26.439353516361063,0.8582607796672396
SVM-Poly2 (std),0.8292704318004551,0.03438321787913185,0.6161095845000577,0.04020545177605337,0.21316084730039728,0.00920712093837568,25.76355259282662,1.9933944969065258
SVM-Linear (mm),0.8133776088947642,0.016048933161856616,0.5831853523847678,0.018541738703490924,0.2301922565099964,0.022295003231592184,28.284111225333568,2.474367239207129
SVM-Linear (std),0.8181929737863346,0.008851626079677266,0.5834217711388779,0.013658820582927368,0.23477120264745652,0.011611522139936235,28.694947902853823,1.4078749465215057
