contribution,regime,condition,metric,baseline,estimate,ci_low,ci_high,p_value,effect_size,verdict,source
C3,attack_composition,normal50_dos50,f1_advantage,QSVM_Z,0.0534429295550644,0.0346013233862506,0.0722845357238782,0.001953125,2.029061025420559,QSVM-favorable,c3_pairwise_statistics.csv
C3,attack_composition,normal50_dos50,f1_advantage,SVM_Linear,0.0650042469566858,0.0496244494334807,0.0803840444798908,0.005859375,3.023527254430736,QSVM-favorable,c3_pairwise_statistics.csv
C3,attack_composition,normal50_dos50,f1_advantage,SVM_Poly2,0.0489381598436766,0.0310808498189448,0.0667954698684085,0.005859375,1.9604436817219344,QSVM-favorable,c3_pairwise_statistics.csv
C3,attack_composition,normal50_dos50,f1_advantage,SVM_RBF,0.0380886610991855,0.0206705753297993,0.0555067468685716,0.005859375,1.5642928343504223,QSVM-favorable,c3_pairwise_statistics.csv
C3,attack_composition,normal50_dos50,f1_advantage,RandomForest,0.0014433514959512,-0.0155786541273203,0.0184653571192228,1.0,0.0606574503174718,inconclusive,c3_pairwise_statistics.csv
C3,attack_composition,normal50_dos50,f1_advantage,XGBoost,0.0006384479446312,-0.0151449780317272,0.0164218739209897,1.0,0.0289365659261891,inconclusive,c3_pairwise_statistics.csv
C4,sample_complexity_natural,N=100,f1_macro,QSVM_Z,-0.0623536817057526,-0.0992949984643105,-0.0254123649471948,0.005859375,-1.2074593093808337,classical-favorable,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=100,f1_macro,SVM_Linear,-0.0271797371460748,-0.1077047837649715,0.0533453094728217,0.48046875,-0.2414554661723024,inconclusive,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=100,f1_macro,SVM_Poly2,0.0099648232195516,-0.0574052934473821,0.0773349398864853,0.556640625,0.1058096001543932,inconclusive,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=100,f1_macro,SVM_RBF,-0.0306920037588035,-0.0866266981810749,0.0252426906634679,0.55078125,-0.3925244800871852,inconclusive,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=100,f1_macro,RandomForest,-0.0705447027024504,-0.11236818929862,-0.0287212161062808,0.00390625,-1.2066100740263768,classical-favorable,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=100,f1_macro,XGBoost,-0.0812402167381356,-0.1231738828138027,-0.0393065506624686,0.00390625,-1.3858971925162042,classical-favorable,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=200,f1_macro,QSVM_Z,-0.0189939333421725,-0.0568037907673772,0.0188159240830321,0.322265625,-0.3593624074025725,inconclusive,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=200,f1_macro,SVM_Linear,-0.017977961776857,-0.0553210369980902,0.0193651134443762,0.55078125,-0.3443920736618589,inconclusive,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=200,f1_macro,SVM_Poly2,-0.0009056410130383,-0.0286758278043595,0.0268645457782829,1.0,-0.0233292112104084,inconclusive,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=200,f1_macro,SVM_RBF,-0.028353084389602,-0.0615668889535607,0.0048607201743567,0.111328125,-0.6106670099962006,inconclusive,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=200,f1_macro,RandomForest,-0.0626658551944718,-0.0982580446311781,-0.0270736657577655,0.00390625,-1.259502519833505,classical-favorable,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=200,f1_macro,XGBoost,-0.0641223197109955,-0.0982794142402869,-0.029965225181704,0.00390625,-1.3429228938890976,classical-favorable,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=500,f1_macro,QSVM_Z,-0.012915172464658,-0.0381336765883772,0.012303331659061,0.275390625,-0.3663562981003961,inconclusive,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=500,f1_macro,SVM_Linear,0.019808667999925,-0.0024043380542498,0.0420216740540999,0.12890625,0.6379266010762757,inconclusive,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=500,f1_macro,SVM_Poly2,0.0239200043584573,-0.0002629271266108,0.0481029358435256,0.12890625,0.7075792411369275,inconclusive,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=500,f1_macro,SVM_RBF,-0.029239215879948,-0.0551222470756354,-0.0033561846842606,0.111328125,-0.8081153573841476,inconclusive,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=500,f1_macro,RandomForest,-0.0292784515008968,-0.052007464410148,-0.0065494385916456,0.02734375,-0.9214893124007528,classical-favorable,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=500,f1_macro,XGBoost,-0.0293120838253928,-0.0534588985018311,-0.0051652691489545,0.02734375,-0.8683796133717921,classical-favorable,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=1000,f1_macro,QSVM_Z,0.0051382325521682,-0.0191930298652725,0.029469494969609,0.76953125,0.1510677940837997,inconclusive,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=1000,f1_macro,SVM_Linear,0.03114392243375,0.0180103893438605,0.0442774555236395,0.005859375,1.696346279368549,QSVM-favorable,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=1000,f1_macro,SVM_Poly2,0.0293249377097512,-0.0108262942080049,0.0694761696275074,0.2109375,0.5224695658354885,inconclusive,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=1000,f1_macro,SVM_RBF,-0.0028282628828999,-0.0292317010453533,0.0235751752795534,1.0,-0.0766270427636972,inconclusive,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=1000,f1_macro,RandomForest,-0.0196307661489437,-0.0349804609397307,-0.0042810713581566,0.02734375,-0.914871880225964,classical-favorable,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=1000,f1_macro,XGBoost,-0.0289413216440059,-0.0404540237831643,-0.0174286195048474,0.0078125,-1.798307126833323,classical-favorable,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=2000,f1_macro,QSVM_Z,0.0165527461572554,-0.0047781097241142,0.037883602038625,0.130859375,0.555117025881464,inconclusive,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=2000,f1_macro,SVM_Linear,0.0408062665068743,0.025142904027329,0.0564696289864195,0.005859375,1.86365121733552,QSVM-favorable,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=2000,f1_macro,SVM_Poly2,0.0639666002663961,0.0319764508570623,0.0959567496757298,0.01171875,1.4304074878337498,QSVM-favorable,c4_pairwise_statistics_natural.csv
C4,sample_complexity_natural,N=2000,f1_macro,SVM_RBF,-0.0137741577729029,-0.0379434749653797,0.0103951594195739,0.16015625,-0.4076837921529159,inconclusive,c4_pairwise_statistics_natural.csv
