n,KTA,boot_mean,ci_low,ci_high
2,0.3296724695688674,0.3359956823544817,0.2860739728949748,0.3902885705310151
3,0.1537214885336581,0.15979199727685736,0.1322806977107738,0.18223424241554426
4,0.23641933146217248,0.24396971055660555,0.21186679152764437,0.27615166268990693
5,0.2438648583659138,0.2510726382227477,0.22242205417125846,0.28010235061728717
6,0.23808834913183402,0.24534949598086161,0.22235436463335134,0.2685249978124653
7,0.19487136154705922,0.20366618380193544,0.18511631709952514,0.22090233521759542
8,0.19516373518557653,0.2040577085334196,0.18475712438646033,0.22197141307853022
9,0.1907228620771771,0.19963803967409025,0.17985288444708222,0.21833249251476938
10,0.17925284302500955,0.18880858270226525,0.1695936286779458,0.20803717257771878
