n,KTA,effective_rank,offdiag_mean,offdiag_std
2,0.3296724695688674,5.780424131591791,0.34635438970608934,0.32642380394577725
3,0.1537214885336581,9.545657969166694,0.3365466629076222,0.29460624531500285
4,0.23641933146217248,28.49373845236018,0.14764470319656128,0.22097790220704022
5,0.2438648583659138,46.49556886734628,0.08406090474996726,0.19539976271216847
6,0.23808834913183402,56.93113633247292,0.06277925540818688,0.1825326767436542
7,0.19487136154705922,79.57075199767556,0.04153827035435995,0.15147345184597394
8,0.19516373518557653,88.69913904761354,0.03338909492033227,0.14548787218870177
9,0.1907228620771771,100.59979005028961,0.029025859198343048,0.13935940157422005
10,0.17925284302500955,114.69646204814667,0.024793071258047715,0.13067830339525835
