n,V_n,DBI,inverse_DBI,Fisher_diag,N_zz,N_cnot,Q_n,pareto_optimal
2,0.7417883276939392,0.8746149350557565,1.143360306254375,0.9413086602395074,2,4,0.02608695652173913,True
3,0.8209565877914429,1.0179078202020997,0.9824072279958079,0.6275412082493214,6,12,0.07173913043478261,True
4,0.8661869764328003,1.084614054934069,0.9219869459102551,0.4711220215821142,12,24,0.1391304347826087,True
5,0.9039736986160278,1.1310559677847862,0.8841295466205231,0.37774500120325394,20,40,0.22826086956521738,True
6,0.9390764832496643,1.171827076743986,0.8533682314105413,0.3153941397858047,30,60,0.3391304347826087,True
7,0.952353298664093,1.1850040421432442,0.8438789779918061,0.27172041635421057,42,84,0.4717391304347826,True
8,0.9643263220787048,1.1985031336508671,0.8343741221216593,0.2398952361259349,56,112,0.6260869565217392,True
9,0.972873330116272,1.2065453478825952,0.8288126109432454,0.21441059741154528,72,144,0.8021739130434783,True
10,0.9809511303901672,1.2139727374399163,0.8237417276015998,0.1957017110777633,90,180,1.0,True
