shots,n,D_noise,source
256,4,0.0007456345272683906,computed
512,4,0.0008155968453593676,computed
1024,4,0.0003210258690662382,reused
256,6,0.0005218163420468436,computed
512,6,0.0005934593584151493,computed
1024,6,5.218793141970046e-05,reused
256,10,0.00025820212377902774,computed
512,10,0.00024476722426403086,computed
1024,10,4.979908208935235e-05,reused
