n,FroSim,D_noise,KTA_noisy,delta_KTA
2,0.9998925381117597,0.00010746188824029002,0.3282631889095143,-0.0014092806593531404
3,0.9998820713463163,0.00011792865368365213,0.15267106103298272,-0.0010504275006753827
4,0.9996789741309338,0.0003210258690662382,0.23401965861573687,-0.0023996728464356076
5,0.9998912296471595,0.00010877035284051484,0.24402230169055408,0.00015744332464029398
6,0.9999478120685803,5.218793141970046e-05,0.2387902022696472,0.0007018531378131798
7,0.9999440693861884,5.5930613811594476e-05,0.19567211365205464,0.0008007521049954169
8,0.9999557903906273,4.42096093726807e-05,0.1955867854608029,0.0004230502752263776
9,0.999952823991582,4.717600841797065e-05,0.19126766630599468,0.0005448042288175858
10,0.9999502009179106,4.979908208935235e-05,0.17990444818233817,0.0006516051573286219
