run_id,distribution_name,model_name,accuracy,f1_macro,precision_pos,recall_pos,ece,brier,auc_pr,roc_auc
1,KDDTest+,QSVM (ZZ),0.8666666666666667,0.8663756625540064,0.9319727891156463,0.8203592814371258,0.09128020802145814,0.09842470435101319,0.964721043238875,0.954707127099185
1,KDDTest+,SVM-RBF,0.8566666666666667,0.8564737035347523,0.9305555555555556,0.8023952095808383,0.10027234298758135,0.10985049994643366,0.9516287534509483,0.9317005087569222
1,KDDTest+,Random Forest,0.8633333333333333,0.8633196652998634,0.9632352941176471,0.7844311377245509,0.1066425423287355,0.09887692256878433,0.9749795827877784,0.9673585160506055
1,KDDTest+,XGBoost,0.88,0.8799786628733997,0.9781021897810219,0.8023952095808383,0.10441355694318191,0.09340935483161797,0.9807343190283925,0.9739768583134483
1,KDDTest-21,QSVM (ZZ),0.6833333333333333,0.6168067226890757,0.8638743455497382,0.7051282051282052,0.23851233773261893,0.21862774831136592,0.9157247830058768,0.7516187516187516
1,KDDTest-21,SVM-RBF,0.71,0.6416754760499183,0.8730964467005076,0.7350427350427351,0.25130685952664195,0.23231904680879448,0.8677329450884463,0.6627816627816627
1,KDDTest-21,Random Forest,0.7066666666666667,0.6388508891928865,0.8724489795918368,0.7307692307692307,0.19259996455883757,0.19526801420926845,0.9414630964150239,0.8071095571095571
1,KDDTest-21,XGBoost,0.7866666666666666,0.7354497354497355,0.9292929292929293,0.7863247863247863,0.17390337864334776,0.1782395987105977,0.9564557460570227,0.8524993524993525
2,KDDTest+,QSVM (ZZ),0.86,0.8596944456817068,0.9251700680272109,0.8143712574850299,0.10242106726992112,0.1102513059420661,0.9545570173007938,0.9375084417630903
2,KDDTest+,SVM-RBF,0.8066666666666666,0.8063568376068376,0.9504132231404959,0.688622754491018,0.15021562406520517,0.1522984350174148,0.9342425921511958,0.8981135473414075
2,KDDTest+,Random Forest,0.8233333333333334,0.8232370957521318,0.9523809523809523,0.718562874251497,0.12927333333333338,0.11764486666666668,0.9665607578572539,0.9583089460177389
2,KDDTest+,XGBoost,0.8166666666666667,0.8166157265907197,0.9375,0.718562874251497,0.15674842129015215,0.14446609507929353,0.9602776130410666,0.9478636711539328
2,KDDTest-21,QSVM (ZZ),0.67,0.6176572818908586,0.8813559322033898,0.6666666666666666,0.2476697712182679,0.2327550126692984,0.9318160131010894,0.788914788914789
2,KDDTest-21,SVM-RBF,0.5833333333333334,0.5665691928940464,0.936,0.5,0.3511025279949372,0.3276855559684477,0.9205690720595464,0.7376327376327376
2,KDDTest-21,Random Forest,0.6466666666666666,0.6025,0.8855421686746988,0.6282051282051282,0.22791999999999984,0.22435416,0.9330593116415408,0.7870046620046621
2,KDDTest-21,XGBoost,0.6633333333333333,0.6053402800390753,0.8674033149171271,0.6709401709401709,0.2668352799105924,0.2663497191608911,0.930718832692331,0.7765151515151515
3,KDDTest+,QSVM (ZZ),0.85,0.84998499849985,0.9485294117647058,0.7724550898203593,0.1012012295010115,0.11719324138820814,0.9535536304470154,0.9348521003106568
3,KDDTest+,SVM-RBF,0.84,0.8398861412560042,0.9219858156028369,0.7784431137724551,0.12115774374610569,0.12303218070169687,0.9484555164565857,0.93071000855432
3,KDDTest+,Random Forest,0.8333333333333334,0.8333333333333334,0.9398496240601504,0.7485029940119761,0.12385722900503761,0.11026937182823052,0.9692663640509019,0.9604475260006303
3,KDDTest+,XGBoost,0.85,0.84998499849985,0.9485294117647058,0.7724550898203593,0.12628843390557445,0.11828193080894579,0.9716292587123992,0.9628112196659312
3,KDDTest-21,QSVM (ZZ),0.6633333333333333,0.607670495008481,0.8715083798882681,0.6666666666666666,0.249249664267572,0.23809000148883125,0.9251411460530403,0.7628205128205127
3,KDDTest-21,SVM-RBF,0.68,0.6114618746964546,0.859375,0.7051282051282052,0.2839171472023938,0.2541422353041041,0.8794988993730152,0.6615514115514115
3,KDDTest-21,Random Forest,0.6866666666666666,0.626984126984127,0.8763440860215054,0.6965811965811965,0.22361381333333327,0.20170131486122667,0.9421202583739516,0.8149766899766898
3,KDDTest-21,XGBoost,0.75,0.6865203761755485,0.8955223880597015,0.7692307692307693,0.21005526363500396,0.20964860897113405,0.9441873560928974,0.813001813001813
4,KDDTest+,QSVM (ZZ),0.8533333333333334,0.8531701890989989,0.9300699300699301,0.7964071856287425,0.10618858316224461,0.10956147697234539,0.9596412430910407,0.9401647832155238
4,KDDTest+,SVM-RBF,0.84,0.84,0.9473684210526315,0.7544910179640718,0.09215256504539204,0.1173311330620373,0.9529788748026679,0.9267480077439106
4,KDDTest+,Random Forest,0.8566666666666667,0.8566650740563784,0.9696969696969697,0.7664670658682635,0.09657212689676128,0.09601578613286302,0.9758497607879545,0.9691369141416415
4,KDDTest+,XGBoost,0.88,0.8798076923076923,0.9517241379310345,0.8263473053892215,0.108530431118949,0.10215334024937943,0.975151203345058,0.9680338570978344
4,KDDTest-21,QSVM (ZZ),0.69,0.6448167432623391,0.9075144508670521,0.6709401709401709,0.2641065928296587,0.23456542947474116,0.9449053190368115,0.8115125615125615
4,KDDTest-21,SVM-RBF,0.6933333333333334,0.627650963250769,0.8697916666666666,0.7136752136752137,0.22225394348763208,0.2315985480867266,0.9085366114133016,0.7218984718984719
4,KDDTest-21,Random Forest,0.7266666666666667,0.685968137254902,0.9367816091954023,0.6965811965811965,0.19185492716029698,0.17378429282352545,0.9511381058690992,0.8437257187257187
4,KDDTest-21,XGBoost,0.7533333333333333,0.6941137566137566,0.9040404040404041,0.7649572649572649,0.19644747138256202,0.1823797577644746,0.9527022272382375,0.8456682206682206
5,KDDTest+,QSVM (ZZ),0.8266666666666667,0.8263888888888888,0.9752066115702479,0.7065868263473054,0.1245466638882689,0.12203216264962616,0.9655017859138084,0.9476385574715233
5,KDDTest+,SVM-RBF,0.8233333333333334,0.822890559732665,0.9830508474576272,0.6946107784431138,0.13229218561627884,0.13113125513659224,0.9542259622846593,0.9346269866282473
