arm,test_split,n_train,comparison,baseline,baseline_family,metric,mean_delta,median_delta,ci_low,ci_high,raw_p,wilcoxon_p,effect_size_dz,positive_run_fraction,verdict_uncorrected,verdict,n_runs,holm_p
tuned_per_N,fixed_300,1000,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,-0.009692116314982546,-0.0066741615877270455,-0.03189244200326685,0.012508209373301762,0.431640625,0.431640625,-0.3123072353417144,0.5,inconclusive,inconclusive,10,0.46484375
tuned_per_N,fixed_300,1000,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,-0.010483879400202668,-0.0017786153234919944,-0.029863886214283528,0.008896127413878192,0.375,0.375,-0.3869820894412445,0.5,inconclusive,inconclusive,10,0.375
tuned_per_N,fixed_300,1000,QSVM_ZZ_vs_XGBoost,XGBoost,strong_tabular,f1_macro,-0.011159540632540455,-0.010116115888369803,-0.0271264659995741,0.004807384734493192,0.16015625,0.16015625,-0.4999744331134902,0.4,inconclusive,inconclusive,10,0.3203125
tuned_per_N,fixed_300,2000,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,-0.020130082273557327,-0.02329448460465633,-0.03536790655639181,-0.004892257990722845,0.037109375,0.037109375,-0.9450294940314289,0.2,classical-favorable,classical-favorable,10,0.037109375
tuned_per_N,fixed_300,2000,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,0.053318901948939935,0.05580453797106627,0.035740452599630185,0.07089735129824969,0.001953125,0.001953125,2.169818507310182,1.0,QSVM-favorable,QSVM-favorable,10,0.005859375
tuned_per_N,fixed_300,2000,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,0.009318499269660552,0.009460259569444074,-0.008661713022681754,0.027298711562002857,0.275390625,0.275390625,0.3707438320221232,0.7,inconclusive,inconclusive,10,0.55078125
tuned_per_N,fixed_300,2000,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,-0.011260536848949588,-0.003417085345958637,-0.027222308097027914,0.004701234399128741,0.275390625,0.275390625,-0.5046622128983981,0.4,inconclusive,inconclusive,10,0.55078125
tuned_per_N,fixed_300,2000,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,0.003558169094137886,0.014814429658574935,-0.014147133577776803,0.021263471766052575,0.431640625,0.431640625,0.14376262757374597,0.6,inconclusive,inconclusive,10,0.86328125
tuned_per_N,fixed_300,2000,QSVM_ZZ_vs_XGBoost,XGBoost,strong_tabular,f1_macro,-0.0047577387689242915,-0.00020629011513378925,-0.022334252436716516,0.012818774898867935,0.6953125,0.6953125,-0.19363801886326348,0.5,inconclusive,inconclusive,10,0.86328125
tuned_per_N,full_kddtest_plus,100,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,entanglement,f1_macro,-0.02244563725308759,0.0021164222289765666,-0.07777073606098076,0.032879461554805575,0.76953125,0.76953125,-0.29022346030799756,0.5,inconclusive,inconclusive,10,0.76953125
tuned_per_N,full_kddtest_plus,100,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,classical_kernel,f1_macro,0.01995001834236988,0.03745417024785669,-0.04473573912217352,0.08463577580691328,0.375,0.375,0.22062636281685943,0.6,inconclusive,inconclusive,10,1.0
tuned_per_N,full_kddtest_plus,100,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,classical_kernel,f1_macro,0.0032146719261671786,0.018839955333232294,-0.06586189296509458,0.07229123681742892,0.625,0.625,0.03329114246537491,0.6,inconclusive,inconclusive,10,1.0
tuned_per_N,full_kddtest_plus,100,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,classical_kernel,f1_macro,-0.003567367872827731,0.01573719916764016,-0.0734244421338121,0.06628970638815665,0.76953125,0.76953125,-0.03653089212455714,0.5,inconclusive,inconclusive,10,1.0
tuned_per_N,full_kddtest_plus,100,QSVM_ZZ_vs_RandomForest,RandomForest,strong_tabular,f1_macro,-0.019414224363744424,0.010854473674056231,-0.07239491326271028,0.03356646453522143,1.0,1.0,-0.2621351243498004,0.6,inconclusive,inconclusive,10,1.0
tuned_per_N,full_kddtest_plus,100,QSVM_ZZ_vs_XGBoost,XGBoost,strong_tabular,f1_macro,-0.013913940325825758,-0.003584003243568057,-0.06911584761712358,0.04128796696547207,0.76953125,0.76953125,-0.18030959055127177,0.4,inconclusive,inconclusive,10,1.0
