featset,model,n_train,run_id,run_seed,f1_macro,params,secs
all122,RandomForest,500,2,101,0.8108679428861336,"{""n_estimators"": 200, ""max_depth"": 10, ""min_samples_leaf"": 1}",12.7
k20,XGBoost,500,2,101,0.7726991137277978,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 0.8}",7.5
k20,RandomForest,500,2,101,0.7795518472256975,"{""n_estimators"": 500, ""max_depth"": 10, ""min_samples_leaf"": 1}",12.9
all122,XGBoost,1000,2,101,0.8135475077293379,"{""n_estimators"": 500, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 1.0}",7.9
all122,RandomForest,1000,2,101,0.8101137987434381,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",16.6
k20,XGBoost,1000,2,101,0.7701907211276835,"{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.03, ""subsample"": 0.8}",8.1
k20,RandomForest,1000,2,101,0.7783617552654294,"{""n_estimators"": 500, ""max_depth"": 10, ""min_samples_leaf"": 1}",17.2
all122,XGBoost,2000,2,101,0.8117321434962599,"{""n_estimators"": 500, ""max_depth"": 3, ""learning_rate"": 0.1, ""subsample"": 0.8}",9.5
all122,RandomForest,2000,2,101,0.8073244353700343,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 1}",18.4
k20,XGBoost,2000,2,101,0.7844410175308836,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.1, ""subsample"": 1.0}",8.8
k20,RandomForest,2000,2,101,0.7803526970818888,"{""n_estimators"": 500, ""max_depth"": 10, ""min_samples_leaf"": 1}",18.4
all122,XGBoost,5000,2,101,0.7847388018760877,"{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 0.8}",11.9
all122,RandomForest,5000,2,101,0.7668470153479012,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",20.4
k20,XGBoost,5000,2,101,0.7496888494107483,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.03, ""subsample"": 1.0}",9.6
k20,RandomForest,5000,2,101,0.7384818599887836,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 2}",20.2
all122,XGBoost,10000,2,101,0.8058413647990543,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.03, ""subsample"": 1.0}",15.3
all122,RandomForest,10000,2,101,0.7744979780378773,"{""n_estimators"": 200, ""max_depth"": 20, ""min_samples_leaf"": 1}",25.6
k20,XGBoost,10000,2,101,0.7706478385295001,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 1.0}",11.0
k20,RandomForest,10000,2,101,0.7302999422078023,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 1}",25.2
all122,XGBoost,100,3,102,0.8021328105901929,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 0.8}",4.2
all122,RandomForest,100,3,102,0.7935880738574048,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",12.1
k20,XGBoost,100,3,102,0.8018502018090515,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.1, ""subsample"": 1.0}",5.0
k20,RandomForest,100,3,102,0.7598714555980302,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 1}",12.5
all122,XGBoost,200,3,102,0.8070636755804039,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 1.0}",5.1
all122,RandomForest,200,3,102,0.7712611588904713,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",12.9
k20,XGBoost,200,3,102,0.7620962886818297,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 1.0}",6.5
k20,RandomForest,200,3,102,0.7771862182807819,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 1}",12.8
all122,XGBoost,500,3,102,0.8103063506261885,"{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.03, ""subsample"": 1.0}",6.7
all122,RandomForest,500,3,102,0.7841266049142535,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",13.2
k20,XGBoost,500,3,102,0.751932675305709,"{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.03, ""subsample"": 1.0}",7.3
k20,RandomForest,500,3,102,0.7624046429207552,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 1}",13.2
all122,XGBoost,1000,3,102,0.7851298256951595,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 1.0}",8.4
all122,RandomForest,1000,3,102,0.7739648588674131,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 1}",17.9
k20,XGBoost,1000,3,102,0.7648234944241414,"{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 1.0}",7.9
k20,RandomForest,1000,3,102,0.7781982284739009,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 1}",17.3
all122,XGBoost,2000,3,102,0.7857801323813677,"{""n_estimators"": 500, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 1.0}",9.5
all122,RandomForest,2000,3,102,0.7814420422129945,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 1}",19.2
k20,XGBoost,2000,3,102,0.7526673678360749,"{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 0.8}",8.7
k20,RandomForest,2000,3,102,0.762045232066145,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 1}",18.6
all122,XGBoost,5000,3,102,0.798467314337497,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 0.8}",12.1
all122,RandomForest,5000,3,102,0.7723577156745254,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",20.9
k20,XGBoost,5000,3,102,0.7621109528336478,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 1.0}",9.8
k20,RandomForest,5000,3,102,0.7463140914279844,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",20.6
all122,XGBoost,10000,3,102,0.7957919241907597,"{""n_estimators"": 500, ""max_depth"": 3, ""learning_rate"": 0.1, ""subsample"": 1.0}",15.8
all122,RandomForest,10000,3,102,0.7738212183380677,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 1}",26.1
k20,XGBoost,10000,3,102,0.770407151962843,"{""n_estimators"": 500, ""max_depth"": 3, ""learning_rate"": 0.1, ""subsample"": 0.8}",10.9
k20,RandomForest,10000,3,102,0.7509619355791372,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 2}",25.1
all122,XGBoost,100,4,103,0.7791743276953971,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.1, ""subsample"": 0.8}",4.7
all122,RandomForest,100,4,103,0.7530010436847938,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 1}",12.4
k20,XGBoost,100,4,103,0.7944868772926227,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.1, ""subsample"": 1.0}",5.3
k20,RandomForest,100,4,103,0.754882013893482,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",12.2
all122,XGBoost,200,4,103,0.8245572136966526,"{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.1, ""subsample"": 1.0}",5.2
all122,RandomForest,200,4,103,0.7976973321305065,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",12.6
k20,XGBoost,200,4,103,0.784760335562825,"{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.03, ""subsample"": 0.8}",6.2
k20,RandomForest,200,4,103,0.7584187458366136,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",12.5
all122,XGBoost,500,4,103,0.8069324075135664,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 1.0}",6.5
all122,RandomForest,500,4,103,0.7847090115404609,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",13.0
k20,XGBoost,500,4,103,0.7359755615870749,"{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.03, ""subsample"": 0.8}",7.2
k20,RandomForest,500,4,103,0.7560980871836476,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 1}",13.0
all122,XGBoost,1000,4,103,0.7995187824119959,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.1, ""subsample"": 1.0}",7.8
