regime,repr_mode,arm,n_train,run_id,n_rare_train,test_split,model,f1_macro,accuracy,precision_macro,recall_macro,n_rare,recall_rare,precision_rare,f1_rare,margin_signed_mean,margin_signed_std,margin_abs_mean,margin_abs_std,rare_margin_signed_mean,rare_margin_signed_std,rare_margin_abs_mean,rare_margin_abs_std
natural,refit_per_N,tuned_per_N,100,1,1,fixed_300,QSVM_ZZ,0.764616212338594,0.7666666666666667,0.8117216117216117,0.7873576155958759,30,0.2,1.0,0.3333333333333333,0.5110194352045481,0.6274839836509175,0.695459641221908,0.4137788060385586,-0.24734091171792663,0.3855936485337623,0.35507790100680575,0.2894471845011363
natural,refit_per_N,tuned_per_N,100,1,1,fixed_300,QSVM_Z,0.8766543320998766,0.8766666666666667,0.8853120516499282,0.8869253973256495,30,0.6666666666666666,1.0,0.8,0.6749814137433259,0.601220559827106,0.8574061452320109,0.28621805075176787,0.00905804216512855,0.5809912572153023,0.4849109990997807,0.3201471724699989
natural,refit_per_N,tuned_per_N,100,1,1,fixed_300,SVM_Linear,0.7917692893287358,0.7933333333333333,0.8372960147208368,0.8136058709648373,30,0.06666666666666667,1.0,0.125,0.4525916590342975,0.6684619271517147,0.6880545293082821,0.4222102824152444,-0.49961434146111044,0.3673767515830945,0.5198242317966039,0.33817589481575466
natural,refit_per_N,tuned_per_N,100,1,1,fixed_300,SVM_Poly2,0.5290423861852434,0.5733333333333334,0.7426311328750352,0.6160010805456755,30,0.2,1.0,0.3333333333333333,0.14845237472944486,0.9723446683867093,0.9131635607810851,0.3655469504242657,-0.3552641002913289,0.4104363662843782,0.3991244004989513,0.36792703712948893
natural,refit_per_N,tuned_per_N,100,1,1,fixed_300,SVM_RBF,0.6705925865994753,0.6833333333333333,0.7852786414733317,0.7148034757552564,30,0.2,1.0,0.3333333333333333,0.40871051784443374,0.659451596257677,0.6499144619691616,0.42371203349303,-0.4809385816681686,0.3907143737497009,0.5241922004882456,0.3304272660342993
natural,refit_per_N,tuned_per_N,100,1,1,fixed_300,RandomForest,0.8363593859580768,0.8366666666666667,0.8625,0.85252802665346,30,0.23333333333333334,1.0,0.3783783783783784,0.2793293114033102,0.28650404880942154,0.37540127909153037,0.1385038405593206,-0.21101483927524062,0.1957447311548069,0.2531494282542785,0.13696214492974024
natural,refit_per_N,tuned_per_N,100,1,1,fixed_300,XGBoost,0.8227642095172276,0.8233333333333334,0.8543853073463268,0.8405519787492683,30,0.23333333333333334,1.0,0.3783783783783784,0.28731195092201234,0.3057042688817573,0.4066641155878703,0.10309002981994846,-0.24432100256284078,0.25949957493380754,0.32889124751091003,0.13734383493573987
natural,refit_per_N,tuned_per_N,100,1,1,full_kddtest_plus,QSVM_ZZ,0.7207736648698908,0.7239620298083748,0.7835182007104518,0.7532051773540442,2952,0.19308943089430894,1.0,0.32367972742759793,0.45079274235327904,0.6337419697522166,0.6586592963330862,0.4135346565135903,-0.198308087297256,0.3808188154337528,0.32380023594253293,0.28196183230966343
natural,refit_per_N,tuned_per_N,100,1,1,full_kddtest_plus,QSVM_Z,0.8154269367370217,0.8154276082327893,0.8307509775665098,0.8311023657335266,2952,0.5813008130081301,1.0,0.7352185089974294,0.5759400986392667,0.6343960356499715,0.7887833108870081,0.3346434157952871,-0.03695292493970868,0.5159023446382189,0.3995008567877722,0.32851151165620857
natural,refit_per_N,tuned_per_N,100,1,1,full_kddtest_plus,SVM_Linear,0.7432166293098994,0.7460521646557843,0.8075827292793021,0.775476721817528,2952,0.017276422764227643,1.0,0.03396603396603397,0.3962706333383369,0.685352034892357,0.6816797291615264,0.4025550563931959,-0.5626563823436026,0.30919664246430845,0.5665451911630273,0.30201211014335255
natural,refit_per_N,tuned_per_N,100,1,1,full_kddtest_plus,SVM_Poly2,0.5259154889087259,0.5649396735273243,0.7319381613414109,0.6164948753568642,2952,0.17852303523035232,1.0,0.3029606208680655,0.122086104906165,0.9282754634229603,0.8559413557844627,0.379426868397754,-0.3580758793661563,0.36447962778661586,0.38648929441352536,0.3342001791726799
natural,refit_per_N,tuned_per_N,100,1,1,full_kddtest_plus,SVM_RBF,0.6426933330315665,0.6563165365507452,0.7679259095690232,0.6967191224823328,2952,0.11686991869918699,1.0,0.20928116469517744,0.35678052492874657,0.6794476140509103,0.6521203543995916,0.40457440179237447,-0.5523273792546768,0.34507584190727614,0.5693153810745482,0.31626392050674557
natural,refit_per_N,tuned_per_N,100,1,1,full_kddtest_plus,RandomForest,0.7878335019527962,0.7882806955287438,0.8212677676353868,0.8101761374381192,2952,0.16565040650406504,1.0,0.2842197035745423,0.24171038900486347,0.29252105561338987,0.3457332343751179,0.1564001623355109,-0.19411170832144267,0.17703340108532054,0.2148388810549279,0.15120990574155957
natural,refit_per_N,tuned_per_N,100,1,1,full_kddtest_plus,XGBoost,0.7660304154253088,0.7669889992902768,0.8072649900238887,0.7910234186922018,2952,0.1758130081300813,1.0,0.2990492653414002,0.24355042133430077,0.3247468140560883,0.38615190990882575,0.12515591654197228,-0.24728523684428314,0.21495488005786717,0.2871016970757385,0.15788668201610978
natural,refit_per_N,tuned_per_N,100,2,1,fixed_300,QSVM_ZZ,0.8199279711884754,0.82,0.8366027945928725,0.8329656476520643,30,0.6,1.0,0.75,0.5238315715649002,0.5235041547161339,0.6446807182991027,0.3644761814255632,0.0024387457535306285,0.3306506070538557,0.2709952163011259,0.18946599739224876
natural,refit_per_N,tuned_per_N,100,2,1,fixed_300,QSVM_Z,0.8733108108108107,0.8733333333333333,0.8811069813264072,0.8831659988294088,30,0.6,1.0,0.75,0.6872374456303857,0.5457058278150436,0.8269362219596009,0.29371183496594216,0.23848367182007985,0.6997411390477722,0.6342278740297165,0.37982512713669603
