regime,n_train,model,f1_rare,recall_rare,precision_rare,margin_signed_mean,margin_signed_std,margin_abs_mean,margin_abs_std,d_signed_vs_ZZ,d_absmargin_vs_ZZ,delta_f1_rare,ci_low,ci_high,wilcoxon_p,dz_f1_rare,verdict
matched,100,QSVM_ZZ,0.7334130287289664,0.6009485094850948,1.0,0.11287151814330307,0.4695824636198228,0.4264211576578347,0.2831787531180587,,,,,,,,
matched,100,QSVM_Z,0.6807230776976801,0.5358062330623306,1.0,0.10322074179736485,0.5712450173058645,0.5354394972647316,0.3249132603710706,0.03648725029775673,-0.42103346146864407,0.052689951031286174,-0.10790997844964376,0.21328988051221612,0.4921875,0.2346957465505137,inconclusive
matched,100,SVM_Linear,0.4217334543278043,0.3068766937669376,1.0,-0.25721286627674805,0.50137420530379,0.5951954916513313,0.27138609788495244,0.9015931956663021,-0.736779356523872,0.31167957440116206,0.04344910091775955,0.5799100478845646,0.037109375,0.8312334281125789,QSVM-favorable
matched,100,SVM_Poly2,0.6209508522282551,0.4843157181571815,1.0,-0.06386005759781997,0.6782875028872425,0.6566989495214235,0.3791402416405315,0.31426011889712646,-0.497810616169576,0.1124621765007113,-0.08737589091126699,0.3123002439126896,0.322265625,0.4025789263385031,inconclusive
matched,100,SVM_RBF,0.5686046868041023,0.44600271002710035,1.0,-0.04809345179779469,0.5555869328309149,0.6123849095008703,0.33380241195856847,0.4248780133647509,-0.5749028210520514,0.16480834192486415,-0.0889985613801283,0.4186152452298566,0.232421875,0.4645137071620665,inconclusive
matched,100,RandomForest,0.510067817251519,0.3536924119241192,1.0,-0.06564041075972168,0.2548229619145443,0.24018545022354898,0.12782656730457612,0.4872623670830589,0.7859457429938054,0.22334521147744751,0.07173620510208464,0.37495421785281036,0.009765625,1.0538393678954563,QSVM-favorable
matched,100,XGBoost,0.4998322274812166,0.3400745257452574,1.0,-0.11739785711616679,0.33015710877102517,0.3329151065853553,0.13857526858779096,0.5847216777971286,0.3189981409196866,0.23358080124774983,0.09826405592983817,0.3688975465656615,0.00390625,1.2348334190433794,QSVM-favorable
matched,200,QSVM_ZZ,0.7087651652570073,0.568191056910569,1.0,0.04542272005535758,0.5241379127798969,0.48026780671929953,0.3093437737581096,,,,,,,,
matched,200,QSVM_Z,0.6666550760199283,0.518089430894309,1.0,0.016563412853028633,0.6973865812219248,0.6455101194515662,0.36537410240727974,0.09532200820972947,-0.5279636437191755,0.04211008923707883,-0.09161413722870311,0.1758343157028608,0.845703125,0.22526765675098914,inconclusive
matched,200,SVM_Linear,0.4913068879149919,0.3469850948509485,1.0,-0.37344482589053807,0.93371629568624,0.9150991673984261,0.5378046370659533,0.5953818399741563,-0.8581894039846117,0.21745827734201534,0.01623966437293184,0.41867689031109884,0.064453125,0.7730909092440472,inconclusive
matched,200,SVM_Poly2,0.5000268437344504,0.3502710027100271,1.0,-0.23612984132638512,0.6295343502353761,0.5865149497514087,0.36937994982587685,0.4615431553146447,-0.20305423958065466,0.20873832152255697,0.05701484629969866,0.3604617967454153,0.009765625,0.9841746613208975,QSVM-favorable
matched,200,SVM_RBF,0.5018388363003649,0.366869918699187,1.0,-0.24152154001917897,0.79898310128626,0.8580914122889031,0.37063551444368803,0.517227973878034,-1.1052847182942536,0.20692632895664237,0.00634063491966011,0.40751202299362466,0.037109375,0.7379697697633403,QSVM-favorable
matched,200,RandomForest,0.45501571197270135,0.30135501355013544,1.0,-0.13199077767998496,0.2710879811441632,0.27800679620931346,0.1367118615864181,0.5016487521175292,0.7279619050609095,0.25374945328430587,0.1568594192696183,0.3506394872989934,0.001953125,1.8734787910766129,QSVM-favorable
matched,200,XGBoost,0.49390057469343607,0.3390243902439024,1.0,-0.15119405862822283,0.3342075184942091,0.3540337097343956,0.13886238827773645,0.5194895548366893,0.4022441777818031,0.21486459056357132,0.07999644209885437,0.3497327390282883,0.005859375,1.139667671410355,QSVM-favorable
matched,500,QSVM_ZZ,0.577223525053504,0.4167344173441734,1.0,-0.14149933658192895,0.7241703434349647,0.6700856925958555,0.3538481682193527,,,,,,,,
matched,500,QSVM_Z,0.5886995721369213,0.44884823848238475,1.0,-0.07073186207365659,0.8454593800076708,0.7975730578505507,0.426499121237366,-0.06658116032547709,-0.27529989258816184,-0.011476047083417068,-0.17693265235240943,0.1539805581855753,0.76953125,-0.04961705530595345,inconclusive
matched,500,SVM_Linear,0.660054884959463,0.5030149051490515,1.0,-0.09641032374610443,0.8362891987769785,0.780929312152925,0.4170689135880476,-0.07705818416159387,-0.23288711427184944,-0.08283135990595898,-0.1779060685352576,0.012243348723339625,0.064453125,-0.6232360445163587,inconclusive
matched,500,SVM_Poly2,0.6352650898474996,0.5050474254742546,1.0,-0.07245141899714,0.6001772716540963,0.5578737174367111,0.3728999908694388,-0.10185866067790487,0.46214754378956374,-0.05804156479399567,-0.2122545272446646,0.09617139765667326,0.625,-0.2692408831845802,inconclusive
matched,500,SVM_RBF,0.553741049167982,0.41588753387533883,1.0,-0.17859248333035393,0.7519018830017831,0.7763245799977776,0.36359083086109945,0.0830553228930241,-0.30738542619433495,0.023482475885522193,-0.13300457636229457,0.17996952813333894,1.0,0.10734658908007044,inconclusive
matched,500,RandomForest,0.48280757272377367,0.3224932249322493,1.0,-0.11864600400914986,0.29060139606708224,0.28707923044511025,0.13636286960654914,-0.017537351705639883,1.4222331186133639,0.09441595232973045,0.010232936317360566,0.17859896834210032,0.02734375,0.8023127078619424,QSVM-favorable
