regime,repr_mode,arm,n_train,run_id,n_rare_train,test_split,model,f1_macro,accuracy,precision_macro,recall_macro,n_rare,recall_rare,precision_rare,f1_rare,margin_signed_mean,margin_signed_std,margin_abs_mean,margin_abs_std,rare_margin_signed_mean,rare_margin_signed_std,rare_margin_abs_mean,rare_margin_abs_std
matched,refit_per_N,tuned_per_N,100,1,10,fixed_300,QSVM_ZZ,0.859375,0.86,0.8590102707749767,0.8635360857232903,30,0.6666666666666666,1.0,0.8,0.7160389604061046,0.5886713933571552,0.8656645949184205,0.33146736080832523,0.08449140845672184,0.523436971951533,0.44405535747973085,0.28972383609627134
matched,refit_per_N,tuned_per_N,100,1,10,fixed_300,QSVM_Z,0.8226218498644564,0.8233333333333334,0.8226351351351351,0.8267750213857998,30,0.5333333333333333,1.0,0.6956521739130435,0.729029573398089,0.6124648410924586,0.8891455632973947,0.34061336986672874,0.2641786888107858,0.606944497275399,0.5879237875810573,0.3041670961675779
matched,refit_per_N,tuned_per_N,100,1,10,fixed_300,SVM_Linear,0.7922159167076277,0.7933333333333333,0.8304018304018304,0.8120750979244518,30,0.2,1.0,0.3333333333333333,0.6750601211313622,0.6806437202188153,0.8851923737955334,0.367989812888111,-0.3141135386555506,0.4501198725162925,0.4734561436801821,0.27769496720734094
matched,refit_per_N,tuned_per_N,100,1,10,fixed_300,SVM_Poly2,0.8825174825174825,0.8833333333333333,0.8813959707612765,0.8852595560758183,30,0.8666666666666667,1.0,0.9285714285714286,0.7848270399638324,0.8246481637544516,1.0399267540408543,0.46319587959310704,0.5917554254959898,0.6313319144740333,0.8014298424574697,0.32628925427599226
matched,refit_per_N,tuned_per_N,100,1,10,fixed_300,SVM_RBF,0.8786189534256428,0.88,0.8781144781144781,0.8792039980189996,30,0.8666666666666667,1.0,0.9285714285714286,0.8086458388830885,0.6605971603329083,1.0246963274075345,0.20073399707161432,0.7647004530138658,0.6213630750073362,0.9501466934604519,0.2609216639690051
matched,refit_per_N,tuned_per_N,100,1,10,fixed_300,RandomForest,0.8232842456237843,0.8233333333333334,0.8299785292538915,0.8321327270271487,30,0.26666666666666666,1.0,0.42105263157894735,0.32355333333333336,0.2702852822893289,0.3929933333333333,0.15263398471142947,-0.06446666666666667,0.2667436638839285,0.22313333333333335,0.15974870543728636
matched,refit_per_N,tuned_per_N,100,1,10,fixed_300,XGBoost,0.813200498132005,0.8133333333333334,0.817877693028235,0.8208545315384268,30,0.26666666666666666,1.0,0.42105263157894735,0.3080130905906359,0.3267747431708557,0.43654269029696785,0.10528188969551998,-0.13993212978045147,0.3207313387378811,0.3291743457317352,0.11871749115261247
matched,refit_per_N,tuned_per_N,100,1,10,full_kddtest_plus,QSVM_ZZ,0.8210890248414724,0.822125621007807,0.8212342181668132,0.8274533857035296,2952,0.6253387533875339,1.0,0.7694872863693205,0.6536682232698128,0.6358091782864482,0.8483980134977922,0.33429966796125027,0.20470781593187654,0.7072445514981697,0.6413497637044615,0.3616222146435111
matched,refit_per_N,tuned_per_N,100,1,10,full_kddtest_plus,QSVM_Z,0.8137587892466254,0.8162704045422285,0.8125255025707131,0.8158344776204042,2952,0.6944444444444444,1.0,0.819672131147541,0.6819491188528534,0.6431385851198429,0.8738263034879323,0.33927780903966076,0.4389440609338601,0.6186351349182374,0.6803698095144812,0.335377758782008
matched,refit_per_N,tuned_per_N,100,1,10,full_kddtest_plus,SVM_Linear,0.7475597361034556,0.7494233498935415,0.7997807301354671,0.7762082181754169,2952,0.09044715447154472,1.0,0.16589002795899346,0.5943228083539976,0.7016048412738536,0.8404142637846861,0.3730587340566306,-0.41148800036093675,0.3493319648306145,0.4841791005703655,0.23859127114027442
