ece_full,ece_rare,brier_full,brier_rare,auc_pr,f1,run_id,model,n_qubits,n_train,n_test,n_rare
0.13010040281150376,0.12909758092013762,0.19623940824489167,0.04573873596327846,0.8478276781774321,0.7871624080949261,1,QSVM,4,1000,82332,1682
0.1586590991332708,0.203480329536748,0.17519917294142753,0.07106896024520869,0.9140543050493835,0.790858476059176,1,SVM-RBF,4,1000,82332,1682
0.236494964161814,0.052859526061496236,0.25527355354644515,0.047024685440856445,0.8724403860759262,0.7906431850045132,1,RandomForest,4,1000,82332,1682
0.13230328162442498,0.100142850213106,0.1700060976159858,0.03883890865918274,0.9115780175503752,0.7861355610132119,1,MLP,4,1000,82332,1682
0.21963623343972533,0.08576453517310939,0.2295315012705192,0.07125547247331074,0.9135099969371828,0.7859221710386832,1,XGBoost,4,1000,82332,1682
0.16185127494692367,0.12331951343883309,0.20818324256700188,0.03699407960172393,0.8336967308170988,0.7846231386025201,1,QSVM,6,1000,82332,1682
0.160186998021947,0.15103441466736364,0.18091570738301985,0.038310382548305315,0.9087726851573475,0.7893117057098374,1,SVM-RBF,6,1000,82332,1682
0.23622451007104683,0.04945157612562045,0.25088932358455873,0.04450138371697027,0.8840836274589848,0.7934250676492601,1,RandomForest,6,1000,82332,1682
0.12788711102781744,0.09643504802065934,0.16653566354761254,0.03611106574473623,0.9166907999889158,0.7934693577035994,1,MLP,6,1000,82332,1682
0.23040061830967862,0.06536501884740853,0.23691295768383205,0.056373907741245115,0.9154888889153727,0.7906695231964953,1,XGBoost,6,1000,82332,1682
0.14048379850118703,0.15005447534690403,0.18401334124942795,0.05744540835765421,0.8942665057945569,0.7894058405126445,2,QSVM,4,1000,82332,1682
0.14667557312307522,0.23716161250151568,0.17797897148398364,0.08793976513662652,0.908521551306201,0.7931844888366627,2,SVM-RBF,4,1000,82332,1682
0.2309191316114551,0.07418567626554717,0.23717887168917026,0.06897594096826228,0.8715110039748826,0.7961761626598566,2,RandomForest,4,1000,82332,1682
0.10677129915269998,0.13266883108512767,0.15526932222879294,0.05732126856637493,0.9128133777425496,0.7921164207291107,2,MLP,4,1000,82332,1682
0.20069574830632164,0.08865524675487119,0.21514400732767577,0.07014205123275999,0.9097262176733326,0.7961473906085327,2,XGBoost,4,1000,82332,1682
0.1446371593089207,0.12072765290228525,0.19676088847051385,0.052843597915463586,0.7963709954901845,0.7954913283726454,2,QSVM,6,1000,82332,1682
0.13555727746825633,0.21120542245980645,0.17937791985173565,0.08153248525002721,0.8995989301669999,0.793029357684441,2,SVM-RBF,6,1000,82332,1682
0.219155664701257,0.06546506220963813,0.22641170494311363,0.05686997570770687,0.9072521616138736,0.8039209948792977,2,RandomForest,6,1000,82332,1682
0.11109420372802921,0.14257473278931904,0.16649849754110688,0.06884746248852591,0.9097698379634689,0.7876235993733973,2,MLP,6,1000,82332,1682
0.19941963388752332,0.07129986690293796,0.21412417379190096,0.05552050419248593,0.9169064870447915,0.8040994227824243,2,XGBoost,6,1000,82332,1682
0.15436982154294104,0.16522064585946356,0.19150203891892933,0.045739599954792154,0.8815928226170773,0.7819467487645394,3,QSVM,4,1000,82332,1682
0.1298840270833559,0.14910411152109515,0.19852318864899482,0.03431209231702797,0.8101294525063485,0.7572035820494296,3,SVM-RBF,4,1000,82332,1682
0.22793839552075712,0.044919532005987486,0.24873203958666887,0.03887039039780952,0.8924598479609066,0.7971932873102966,3,RandomForest,4,1000,82332,1682
0.1268998285651421,0.10213312669324666,0.16485519329561,0.04080078242578083,0.9119888059897391,0.7869843527738265,3,MLP,4,1000,82332,1682
0.21544192907293383,0.05940831330415127,0.22692768493266646,0.0449818869083886,0.9147307233960158,0.7957647416644489,3,XGBoost,4,1000,82332,1682
0.16453272621982065,0.11645667869239729,0.2085934486418997,0.04112881357673331,0.8276821767999486,0.7774859896580665,3,QSVM,6,1000,82332,1682
0.15439202613549077,0.09539581597564911,0.19754094181909815,0.023962652530169146,0.8559643863124698,0.7862656327042897,3,SVM-RBF,6,1000,82332,1682
0.22026015737768043,0.04464814572159243,0.2455603372489698,0.03819230115770902,0.906623629724719,0.7972657895968912,3,RandomForest,6,1000,82332,1682
0.13741893490523768,0.08774993363563588,0.1688956237940193,0.03171457061020841,0.9180430111582876,0.7961521931950146,3,MLP,6,1000,82332,1682
0.23658246688018567,0.06569853134086925,0.2439669107916452,0.05685867140728657,0.9160164759732483,0.7921972722477583,3,XGBoost,6,1000,82332,1682
