K,n,kernel,offdiag_mean,offdiag_std
20,4,ZZ,0.1476446543429457,0.22097757279003122
20,4,Z,0.3698131941346451,0.3463853965982686
20,5,ZZ,0.08406098899265102,0.19539988657428053
20,5,Z,0.3038858888109669,0.31181374197097494
20,6,ZZ,0.06277912187738965,0.1825327321701763
20,6,Z,0.24187772475018998,0.2851369989542245
20,7,ZZ,0.04153809679251541,0.15147324021951464
20,7,Z,0.2271222152946352,0.27567795316483656
20,8,ZZ,0.033389092496208216,0.14548776990481527
20,8,Z,0.21142300590494517,0.273871905053269
20,9,ZZ,0.029025980094591283,0.1393597180357892
20,9,Z,0.19316576857289422,0.2663347205630888
20,10,ZZ,0.024793037325786332,0.13067817102338677
20,10,Z,0.18464388123987138,0.26268087184056255
80,4,ZZ,0.15149699840150832,0.24412566695127405
80,4,Z,0.3335900608093414,0.3160664006124015
80,5,ZZ,0.1045804274654334,0.22585054102824081
80,5,Z,0.2889795337485597,0.31601247040310365
80,6,ZZ,0.06668103283770051,0.18622077384953933
80,6,Z,0.22290098269428116,0.2950701711940894
80,7,ZZ,0.05091578548467015,0.16863036011322366
80,7,Z,0.1977175390339821,0.2859320603111919
80,8,ZZ,0.03963601125922334,0.15388482041705215
80,8,Z,0.17578858000710254,0.2759033429039553
80,9,ZZ,0.03111885328919576,0.13710660068153097
80,9,Z,0.16364005767475642,0.2693154396146131
80,10,ZZ,0.025584744464993814,0.12523171078780054
80,10,Z,0.14925383365417588,0.260569424801309
