K,f1_raw_mean,f1_raw_std,seconds_raw,f1_pca4_mean,f1_pca4_std,seconds_pca4,n_folds
4,0.8929453474734863,0.0016974658607473482,0.8178825378417969,0.8929528359656839,0.001711031003397035,0.870342493057251,5
6,0.9031839904368214,0.002101690821094843,0.9214401245117188,0.8785297461068702,0.002130306403677432,1.0314414501190186,5
8,0.9031246312742125,0.0022241135437196576,1.1337389945983887,0.8767001298928461,0.0021019632186583337,1.010268211364746,5
10,0.9030260591318775,0.002345236139471368,1.5014984607696533,0.8757122873933746,0.0023760716556808616,0.9353210926055908,5
12,0.9218987009331391,0.0010534597585528341,1.3024544715881348,0.8902597817243298,0.002276622998628266,0.9992692470550537,5
15,0.9438680850085849,0.0020927770040252485,1.5211186408996582,0.8897336224423334,0.0023262684212369154,1.0283458232879639,5
20,0.9451348963356356,0.0017504929735888918,1.860321283340454,0.9007215933312012,0.0012833627096128359,0.9350545406341553,5
25,0.9616129879804494,0.0018250296768875232,1.909494161605835,0.8985094820225588,0.0018700931922269412,1.0439116954803467,5
30,0.966006949013033,0.0017492226144459426,2.0951099395751953,0.9082973720316531,0.0021443633119459754,1.1938807964324951,5
40,0.9690664675762349,0.0013110626931340428,2.896160840988159,0.9201806480971315,0.0012182970612480434,1.1483800411224365,5
60,0.969936760374235,0.001489634878735709,3.9633686542510986,0.9205835293147887,0.0016216271825321411,1.49241042137146,5
80,0.9707418120268612,0.0014701266426589675,4.455354452133179,0.9282579119140418,0.001244087958881881,1.655325174331665,5
122,0.9727359370893314,0.0015629133890906163,4.881477355957031,0.9279026533288913,0.0011816503822046059,1.6194517612457275,5
