model_name,model_key,scaler,mean_f1_macro,std_f1_macro,mean_accuracy,std_accuracy,mean_kta,std_kta,mean_sv_ratio,std_sv_ratio,mean_intra_similarity,mean_inter_similarity,mean_separation_gap,std_separation_gap
QSVM-Z,quantum_z,"MinMax [0,pi]",0.7982096696927832,0.03215654429181309,0.7986577181208053,0.032099205486088904,0.0717163317747942,0.008696426715490077,0.27014028056112227,0.015370231980958183,0.36838657283861526,0.31265582015982496,0.05573075267879031,0.007131573014464729
QSVM-ZZ,quantum,"MinMax [0,pi]",0.8412278938662604,0.02356716849124352,0.8416107382550336,0.02365712313022094,0.20318075440309064,0.025009043748916326,0.23306613226452905,0.015435415615156902,0.18060487976219947,0.09064011504693477,0.0899647647152647,0.017069973555572663
SVM-Linear (mm),linear_mm,"MinMax [0,pi]",0.797818266451648,0.0062424290960383004,0.7986577181208053,0.006277948635526744,0.06682507790799685,0.010702853206476359,0.36132264529058117,0.017028172974948283,9.69884090423584,8.416289138793946,1.2825517654418945,0.21587658215900826
SVM-Linear (std),linear_std,StandardScaler,0.7951066326596279,0.007011201672686771,0.795973154362416,0.0072749944257311525,0.06682507790799685,0.010702853206476359,0.35831663326653307,0.017507851764110932,9.69884090423584,8.416289138793946,1.2825517654418945,0.21587658215900826
SVM-Poly (mm),poly_mm,"MinMax [0,pi]",0.7874687928781803,0.0038787578913584615,0.789261744966443,0.0036759903188266284,0.12645604484331036,0.016062138470018826,0.34108216432865734,0.021096884457690666,13.000883674621582,9.45108242034912,3.549801254272461,0.3166829911828854
SVM-Poly (std),poly_std,StandardScaler,0.8241026966633636,0.020765836060971564,0.8248322147651006,0.020467047895271023,0.12645604484331036,0.016062138470018826,0.40400801603206415,0.011800697811973765,13.000883674621582,9.45108242034912,3.549801254272461,0.3166829911828854
SVM-Rbf (mm),rbf_mm,"MinMax [0,pi]",0.7856436867283668,0.00847978346825324,0.787248322147651,0.007725412371289433,0.2634024139447833,0.041035073564410295,0.40220440881763525,0.01380440088119802,0.4667667090892792,0.22030373513698578,0.24646297693252564,0.04004024105169889
SVM-Rbf (std),rbf_std,StandardScaler,0.8152259161334487,0.023347337575992597,0.8161073825503357,0.02389393707237304,0.2634024139447833,0.041035073564410295,0.26893787575150296,0.02022211909435465,0.4667667090892792,0.22030373513698578,0.24646297693252564,0.04004024105169889
