model_key,mean_f1,std_f1,mean_acc,std_acc,mean_kta,std_kta,mean_nsv,std_nsv,mean_svr,std_svr,mean_margin
linear_mm,0.8133776088947642,0.016048933161856616,0.8140000000000001,0.015527752931802872,0.062144728272460426,0.007126709727833447,368.6,14.673104647619734,0.3686,0.014673104647619761,1.095422155089082
linear_std,0.8181929737863346,0.008851626079677266,0.8186666666666668,0.008692269873603532,0.062144728272460426,0.007126709727833447,365.6,16.410362579784756,0.36560000000000004,0.016410362579784746,1.0966212083434204
poly_mm,0.8122086547512473,0.019311320988974597,0.8133333333333332,0.018708286933869698,0.12467743712520418,0.021391118058825844,348.8,18.646715528478463,0.3488,0.01864671552847845,1.1271694300012516
poly_std,0.8292704318004551,0.03438321787913185,0.8300000000000001,0.03358240279934978,0.12467743712520418,0.021391118058825844,404.0,9.273618495495704,0.404,0.009273618495495697,0.9393757369224192
quantum,0.8537753356500781,0.015725416532580545,0.8539999999999999,0.015705625319186324,0.20465615479142113,0.028976635420458797,277.4,14.707141122597559,0.2774,0.014707141122597548,1.1105687519000305
quantum_z,0.8271498840603275,0.015069289550531485,0.8273333333333334,0.014981470036162828,0.06974260598485357,0.006150597276852432,326.6,20.755722102591363,0.3266,0.02075572210259136,1.075841458489764
rbf_mm,0.8131983164451398,0.01668860672258228,0.8140000000000001,0.01605545943838973,0.24730377356185534,0.031777670941497645,406.8,12.872451204024815,0.40679999999999994,0.01287245120402479,0.866593033849956
rbf_std,0.8383929200266422,0.013331395177399008,0.8386666666666667,0.013457752825457615,0.24730377356185534,0.031777670941497645,266.8,16.976454282328802,0.26680000000000004,0.016976454282328805,1.5593519156649878
