run_id,model_key,f1_macro,accuracy,n_sv,sv_ratio,kta,margin_mean
1,quantum,0.8663756625540064,0.8666666666666667,284,0.284,0.21025908236245364,1.0917203286892212
1,quantum_z,0.8399359743897559,0.84,322,0.322,0.06875437770692511,1.0560058171826465
1,linear_mm,0.8197115384615384,0.82,377,0.377,0.06277336515754434,0.9835766932426081
1,poly_mm,0.8190267661647079,0.82,358,0.358,0.13020509121241552,1.0447155127715428
1,rbf_mm,0.813200498132005,0.8133333333333334,413,0.413,0.24810830624406122,0.7952163631088234
1,linear_std,0.8230009684852668,0.8233333333333334,374,0.374,0.06277336515754434,1.0130905381187796
1,poly_std,0.8429406850459482,0.8433333333333334,402,0.402,0.13020509121241552,0.9934938178438677
1,rbf_std,0.8562049247026563,0.8566666666666667,270,0.27,0.24810830624406122,1.396219560051751
2,quantum,0.8596944456817068,0.86,257,0.257,0.2177357842579508,1.091283038388415
2,quantum_z,0.8063568376068376,0.8066666666666666,320,0.32,0.07835874756508673,1.052971641414433
2,linear_mm,0.8165015180328963,0.8166666666666667,348,0.348,0.070779116017916,1.1222638986100433
2,poly_mm,0.8194865394901052,0.82,326,0.326,0.129892394324122,1.1684204137922187
2,rbf_mm,0.8199279711884754,0.82,386,0.386,0.27953940159519847,0.8156381918728856
2,linear_std,0.8197997775305895,0.82,343,0.343,0.070779116017916,1.0999387861763623
2,poly_std,0.8431224201426362,0.8433333333333334,399,0.399,0.129892394324122,0.9049662555579615
2,rbf_std,0.8198719089130049,0.82,259,0.259,0.27953940159519847,1.4796018503794608
3,quantum,0.8599439775910365,0.86,276,0.276,0.2364596490714829,1.1175993254870336
3,quantum_z,0.8164198533584041,0.8166666666666667,307,0.307,0.06179060311221348,1.0481536175859514
3,linear_mm,0.8226218498644564,0.8233333333333334,361,0.361,0.06645902719251874,1.1614980064140827
3,poly_mm,0.8222887863106481,0.8233333333333334,335,0.335,0.14525878986169632,1.1924535501863927
3,rbf_mm,0.8257294785289782,0.8266666666666667,403,0.403,0.2664905387304666,0.9054151764257717
3,linear_std,0.8226218498644564,0.8233333333333334,357,0.357,0.06645902719251874,1.1734895218694532
3,poly_std,0.84622927438046,0.8466666666666667,393,0.393,0.14525878986169632,0.9844148663652145
3,rbf_std,0.8428286386284849,0.8433333333333334,253,0.253,0.2664905387304666,1.541202266609755
4,quantum,0.8564737035347523,0.8566666666666667,273,0.273,0.20027252940644275,1.136266642750208
4,quantum_z,0.8332147304750044,0.8333333333333334,322,0.322,0.0673730475352211,1.1151654952699361
4,linear_mm,0.8230009684852668,0.8233333333333334,371,0.371,0.05830793857574123,1.1224934903759716
4,poly_mm,0.822463404012997,0.8233333333333334,352,0.352,0.1297323751000177,1.1391550883589456
4,rbf_mm,0.8226218498644564,0.8233333333333334,414,0.414,0.24636510598173794,0.8679717171262971
4,linear_std,0.8230009684852668,0.8233333333333334,368,0.368,0.05830793857574123,1.1024284738870447
4,poly_std,0.84622927438046,0.8466666666666667,409,0.409,0.1297323751000177,0.986883331403883
4,rbf_std,0.8399928885728254,0.84,257,0.257,0.24636510598173794,1.5828345737614922
5,quantum,0.8263888888888888,0.8266666666666667,297,0.297,0.15855372885877575,1.1159744241852754
5,quantum_z,0.8398220244716352,0.84,362,0.362,0.07243625400482148,1.1069107209958533
5,linear_mm,0.7850521696296628,0.7866666666666666,386,0.386,0.05240419441858183,1.0872786868027042
5,poly_mm,0.7777777777777778,0.78,373,0.373,0.08829853512776938,1.0911025848971583
5,rbf_mm,0.7845117845117845,0.7866666666666666,418,0.418,0.19601551525781247,0.9487237207160024
5,linear_std,0.802541304566093,0.8033333333333333,386,0.386,0.05240419441858183,1.094158721665462
5,poly_std,0.767830505052771,0.77,417,0.417,0.08829853512776938,0.8271204134411694
5,rbf_std,0.8330662393162394,0.8333333333333334,295,0.295,0.19601551525781247,1.7969013275224799
