baseline,chi2_mean,chi2_std,p_value_mean,p_value_std
SVM-Linear (mm),0.9347710796144101,0.9972289326795791,0.49997817517519055,0.36654923047863747
SVM-Linear (std),0.9760618173040896,1.1180207832586255,0.5211446344429643,0.3934832565459158
SVM-Poly2 (mm),1.3571415490850633,1.6835121148778491,0.4436386699503725,0.333077717660474
SVM-Poly2 (std),2.4845889944975488,3.0204827266543917,0.38615632411573075,0.4033552247705873
SVM-RBF (mm),1.8937964213868352,2.5567469527188957,0.4922453207451746,0.43644468061797687
SVM-RBF (std),5.513038072496814,8.159749297741493,0.29010058327049854,0.3441021955961245
