model_name,slope_mean,slope_std
QSVM (ZZ),-0.9768935636239788,0.2200511444176419
SVM-RBF (mm),-0.04318834909779061,0.009612773662991203
SVM-RBF (std),-0.24561923672899644,0.0643921480382951
SVM-Poly2 (mm),-0.021650814952177293,0.022640937892015243
SVM-Poly2 (std),-0.2571529424044885,0.11422552992226989
SVM-Linear (mm),-0.023650850291920184,0.054050008332438094
SVM-Linear (std),-0.036661927643886316,0.05390834255893144
