run_id,seed,regime,condition,model,f1_macro,accuracy,subset_path,train_size,eval_size,elapsed_sec
1,100,temporal,KDDTestPlus,QSVM_ZZ,0.8109771282325161,0.811,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,27.17055058479309
1,100,temporal,KDDTestPlus,QSVM_Z,0.7920097584600282,0.793,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,27.17055058479309
1,100,temporal,KDDTestPlus,SVM_Linear,0.79098306962864,0.791,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,27.17055058479309
1,100,temporal,KDDTestPlus,SVM_Poly2,0.801821639475528,0.802,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,27.17055058479309
1,100,temporal,KDDTestPlus,SVM_RBF,0.8291628982011858,0.83,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,27.17055058479309
1,100,temporal,KDDTestPlus,RandomForest,0.850921137281622,0.851,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,27.17055058479309
1,100,temporal,KDDTestPlus,XGBoost,0.8479902713773682,0.848,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,27.17055058479309
2,101,temporal,KDDTestPlus,QSVM_ZZ,0.8259749403914163,0.826,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,33.58772110939026
2,101,temporal,KDDTestPlus,QSVM_Z,0.7770718948182833,0.779,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,33.58772110939026
2,101,temporal,KDDTestPlus,SVM_Linear,0.7774436090225564,0.778,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,33.58772110939026
2,101,temporal,KDDTestPlus,SVM_Poly2,0.7954887218045112,0.796,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,33.58772110939026
2,101,temporal,KDDTestPlus,SVM_RBF,0.802976160115374,0.803,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,33.58772110939026
2,101,temporal,KDDTestPlus,RandomForest,0.8209912285701999,0.821,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,33.58772110939026
2,101,temporal,KDDTestPlus,XGBoost,0.8349523012150512,0.835,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,33.58772110939026
3,102,temporal,KDDTestPlus,QSVM_ZZ,0.8059503232827604,0.806,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,31.28742527961731
3,102,temporal,KDDTestPlus,QSVM_Z,0.8022642251819019,0.803,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,31.28742527961731
3,102,temporal,KDDTestPlus,SVM_Linear,0.7899462262339159,0.79,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,31.28742527961731
3,102,temporal,KDDTestPlus,SVM_Poly2,0.7893858491360808,0.79,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,31.28742527961731
3,102,temporal,KDDTestPlus,SVM_RBF,0.793999175996704,0.794,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,31.28742527961731
3,102,temporal,KDDTestPlus,RandomForest,0.8438594735261735,0.844,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,31.28742527961731
3,102,temporal,KDDTestPlus,XGBoost,0.8249956248906223,0.825,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,31.28742527961731
4,103,temporal,KDDTestPlus,QSVM_ZZ,0.8397172612488429,0.84,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,30.524852991104126
4,103,temporal,KDDTestPlus,QSVM_Z,0.7911445279866333,0.792,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,30.524852991104126
4,103,temporal,KDDTestPlus,SVM_Linear,0.78997899789979,0.79,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,30.524852991104126
4,103,temporal,KDDTestPlus,SVM_Poly2,0.8038870389344263,0.804,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,30.524852991104126
4,103,temporal,KDDTestPlus,SVM_RBF,0.7847567550169781,0.786,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,30.524852991104126
4,103,temporal,KDDTestPlus,RandomForest,0.8184901387998889,0.819,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,30.524852991104126
4,103,temporal,KDDTestPlus,XGBoost,0.8255282283294028,0.826,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,30.524852991104126
5,104,temporal,KDDTestPlus,QSVM_ZZ,0.8289984609861489,0.829,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,32.58841609954834
5,104,temporal,KDDTestPlus,QSVM_Z,0.7820744094821845,0.784,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,32.58841609954834
5,104,temporal,KDDTestPlus,SVM_Linear,0.7762731113387396,0.777,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,32.58841609954834
5,104,temporal,KDDTestPlus,SVM_Poly2,0.7645986710433128,0.767,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,32.58841609954834
5,104,temporal,KDDTestPlus,SVM_RBF,0.8218795906032478,0.822,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,32.58841609954834
5,104,temporal,KDDTestPlus,RandomForest,0.7946877200221536,0.795,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,32.58841609954834
5,104,temporal,KDDTestPlus,XGBoost,0.8049295795782277,0.805,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,32.58841609954834
6,105,temporal,KDDTestPlus,QSVM_ZZ,0.7969266905352832,0.797,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,32.64988136291504
6,105,temporal,KDDTestPlus,QSVM_Z,0.7682862450685268,0.77,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,32.64988136291504
6,105,temporal,KDDTestPlus,SVM_Linear,0.790999790999791,0.791,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,32.64988136291504
6,105,temporal,KDDTestPlus,SVM_Poly2,0.8016826923076923,0.802,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,32.64988136291504
6,105,temporal,KDDTestPlus,SVM_RBF,0.8255282283294028,0.826,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,32.64988136291504
6,105,temporal,KDDTestPlus,RandomForest,0.8209983889855008,0.821,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,32.64988136291504
6,105,temporal,KDDTestPlus,XGBoost,0.826985985864855,0.827,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,32.64988136291504
7,106,temporal,KDDTestPlus,QSVM_ZZ,0.8339574931182383,0.834,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,32.32121825218201
7,106,temporal,KDDTestPlus,QSVM_Z,0.7953582434514638,0.796,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,32.32121825218201
7,106,temporal,KDDTestPlus,SVM_Linear,0.79098306962864,0.791,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,32.32121825218201
7,106,temporal,KDDTestPlus,SVM_Poly2,0.8058881915983607,0.806,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,32.32121825218201
7,106,temporal,KDDTestPlus,SVM_RBF,0.822999822999823,0.823,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,32.32121825218201
7,106,temporal,KDDTestPlus,RandomForest,0.8529669175564503,0.853,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,32.32121825218201
7,106,temporal,KDDTestPlus,XGBoost,0.8619977919646715,0.862,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,32.32121825218201
8,107,temporal,KDDTestPlus,QSVM_ZZ,0.810999810999811,0.811,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\temporal\KDDTestPlus_N1000.csv,1000,1000,31.99447011947632
