run_id,condition,baseline,baseline_family,qsvm_effect
5,attack_50pct,SVM_Poly2,classical_kernel,0.06376952562445992
6,attack_50pct,SVM_Poly2,classical_kernel,0.004305350417976972
7,attack_50pct,SVM_Poly2,classical_kernel,0.03268471268075335
8,attack_50pct,SVM_Poly2,classical_kernel,0.020545090460850512
9,attack_50pct,SVM_Poly2,classical_kernel,-0.02152531082467679
10,attack_50pct,SVM_Poly2,classical_kernel,0.0669298082142118
1,attack_50pct,SVM_RBF,classical_kernel,-0.028049959004243896
2,attack_50pct,SVM_RBF,classical_kernel,0.022314038217920884
3,attack_50pct,SVM_RBF,classical_kernel,0.0030558204351250895
4,attack_50pct,SVM_RBF,classical_kernel,0.04769833164124182
5,attack_50pct,SVM_RBF,classical_kernel,0.004242401572412291
6,attack_50pct,SVM_RBF,classical_kernel,-0.032033561221472495
7,attack_50pct,SVM_RBF,classical_kernel,0.006543977942550017
8,attack_50pct,SVM_RBF,classical_kernel,0.0012269600714786
9,attack_50pct,SVM_RBF,classical_kernel,-0.00192833671008652
10,attack_50pct,SVM_RBF,classical_kernel,0.04518107084047451
1,attack_50pct,RandomForest,strong_tabular,-0.028645990598485604
2,attack_50pct,RandomForest,strong_tabular,-0.011185188592914397
3,attack_50pct,RandomForest,strong_tabular,-0.023012720549638543
4,attack_50pct,RandomForest,strong_tabular,0.016538816644428023
5,attack_50pct,RandomForest,strong_tabular,0.022522902243899412
6,attack_50pct,RandomForest,strong_tabular,-0.029492818556261735
7,attack_50pct,RandomForest,strong_tabular,-0.011599738434875606
8,attack_50pct,RandomForest,strong_tabular,-0.026377632380111593
9,attack_50pct,RandomForest,strong_tabular,-0.029378853452493248
10,attack_50pct,RandomForest,strong_tabular,-0.016617054280019028
1,attack_50pct,XGBoost,strong_tabular,-0.037483190390313004
2,attack_50pct,XGBoost,strong_tabular,-0.0025964738738448734
3,attack_50pct,XGBoost,strong_tabular,-0.009830167230173381
4,attack_50pct,XGBoost,strong_tabular,0.009868424177404744
5,attack_50pct,XGBoost,strong_tabular,0.017089014580779938
6,attack_50pct,XGBoost,strong_tabular,-0.036722478173887074
7,attack_50pct,XGBoost,strong_tabular,-0.01689675386558387
8,attack_50pct,XGBoost,strong_tabular,-0.04504882104802077
9,attack_50pct,XGBoost,strong_tabular,-0.0333429453873334
10,attack_50pct,XGBoost,strong_tabular,0.0021011452319572577
1,attack_70pct,QSVM_Z,entanglement,0.03562552550557074
2,attack_70pct,QSVM_Z,entanglement,0.05547675338044877
3,attack_70pct,QSVM_Z,entanglement,0.008487031556005498
4,attack_70pct,QSVM_Z,entanglement,0.03700181454825224
5,attack_70pct,QSVM_Z,entanglement,0.079606133312075
6,attack_70pct,QSVM_Z,entanglement,0.026840922879952434
7,attack_70pct,QSVM_Z,entanglement,0.03636761021393242
8,attack_70pct,QSVM_Z,entanglement,0.038877580032391945
9,attack_70pct,QSVM_Z,entanglement,-0.017229765990659285
10,attack_70pct,QSVM_Z,entanglement,0.06630601415358384
1,attack_70pct,SVM_Linear,classical_kernel,0.012200650234711619
2,attack_70pct,SVM_Linear,classical_kernel,0.03426192273992701
3,attack_70pct,SVM_Linear,classical_kernel,-0.013852849336990714
4,attack_70pct,SVM_Linear,classical_kernel,0.025044017069283164
5,attack_70pct,SVM_Linear,classical_kernel,0.062357572779600856
6,attack_70pct,SVM_Linear,classical_kernel,-0.025026385624955738
7,attack_70pct,SVM_Linear,classical_kernel,0.02354210894848774
8,attack_70pct,SVM_Linear,classical_kernel,0.02204768630631282
9,attack_70pct,SVM_Linear,classical_kernel,0.011138381264059638
10,attack_70pct,SVM_Linear,classical_kernel,0.0789925405878037
1,attack_70pct,SVM_Poly2,classical_kernel,0.015585565859223549
2,attack_70pct,SVM_Poly2,classical_kernel,0.03437515345422004
3,attack_70pct,SVM_Poly2,classical_kernel,0.0061191793380497295
4,attack_70pct,SVM_Poly2,classical_kernel,0.036125904075599236
5,attack_70pct,SVM_Poly2,classical_kernel,0.07830403860506885
6,attack_70pct,SVM_Poly2,classical_kernel,-0.03647784061695869
7,attack_70pct,SVM_Poly2,classical_kernel,0.04068124521382521
8,attack_70pct,SVM_Poly2,classical_kernel,0.020112614163547704
9,attack_70pct,SVM_Poly2,classical_kernel,0.007045166471366104
10,attack_70pct,SVM_Poly2,classical_kernel,0.08868307582876545
1,attack_70pct,SVM_RBF,classical_kernel,-0.03178916228307449
2,attack_70pct,SVM_RBF,classical_kernel,0.02130884439351033
3,attack_70pct,SVM_RBF,classical_kernel,0.008072814761113878
4,attack_70pct,SVM_RBF,classical_kernel,0.039225016509345956
5,attack_70pct,SVM_RBF,classical_kernel,0.009896905195733496
6,attack_70pct,SVM_RBF,classical_kernel,-0.06461387034156818
7,attack_70pct,SVM_RBF,classical_kernel,-0.002288895087332543
8,attack_70pct,SVM_RBF,classical_kernel,0.010567918299876577
9,attack_70pct,SVM_RBF,classical_kernel,-0.007198548377034375
10,attack_70pct,SVM_RBF,classical_kernel,0.0494899604061424
1,attack_70pct,RandomForest,strong_tabular,-0.03773810744507844
2,attack_70pct,RandomForest,strong_tabular,-0.003679553725611351
3,attack_70pct,RandomForest,strong_tabular,-0.05832190524170733
4,attack_70pct,RandomForest,strong_tabular,-0.004592741197567252
5,attack_70pct,RandomForest,strong_tabular,0.04219961275095563
6,attack_70pct,RandomForest,strong_tabular,-0.04796360994316906
7,attack_70pct,RandomForest,strong_tabular,-0.03333267856683897
8,attack_70pct,RandomForest,strong_tabular,0.0043852304266555064
9,attack_70pct,RandomForest,strong_tabular,-0.026303002041694223
10,attack_70pct,RandomForest,strong_tabular,0.004375644723902394
1,attack_70pct,XGBoost,strong_tabular,-0.037404861111111076
2,attack_70pct,XGBoost,strong_tabular,-0.002236174431448301
3,attack_70pct,XGBoost,strong_tabular,-0.04452112353055748
4,attack_70pct,XGBoost,strong_tabular,-0.009980910335529836
5,attack_70pct,XGBoost,strong_tabular,0.018259682484242257
6,attack_70pct,XGBoost,strong_tabular,-0.0661696960314786
7,attack_70pct,XGBoost,strong_tabular,-0.05206416660359903
8,attack_70pct,XGBoost,strong_tabular,-0.022905935441961178
9,attack_70pct,XGBoost,strong_tabular,-0.02489354745105088
10,attack_70pct,XGBoost,strong_tabular,0.00014449666396643135
