run_id,seed,regime,condition,model,f1_macro,accuracy,subset_path,train_size,eval_size,elapsed_sec
1,100,perturbation,sigma_0p10,SVM_Poly2,0.8178951075819672,0.818,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p10_N1000.csv,1000,1000,13.433190107345581
1,100,perturbation,sigma_0p10,SVM_RBF,0.8273757787018052,0.829,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p10_N1000.csv,1000,1000,13.433190107345581
1,100,perturbation,sigma_0p10,RandomForest,0.8109907385461887,0.811,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p10_N1000.csv,1000,1000,13.433190107345581
1,100,perturbation,sigma_0p10,XGBoost,0.8038462154328994,0.804,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p10_N1000.csv,1000,1000,13.433190107345581
1,100,perturbation,sigma_0p20,QSVM_ZZ,0.6369183066189893,0.637,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p20_N1000.csv,1000,1000,13.625481605529785
1,100,perturbation,sigma_0p20,QSVM_Z,0.7272102262947197,0.729,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p20_N1000.csv,1000,1000,13.625481605529785
1,100,perturbation,sigma_0p20,SVM_Linear,0.8249227909508093,0.825,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p20_N1000.csv,1000,1000,13.625481605529785
1,100,perturbation,sigma_0p20,SVM_Poly2,0.8159970559528953,0.816,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p20_N1000.csv,1000,1000,13.625481605529785
1,100,perturbation,sigma_0p20,SVM_RBF,0.8163106035465246,0.819,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p20_N1000.csv,1000,1000,13.625481605529785
1,100,perturbation,sigma_0p20,RandomForest,0.7939002477198964,0.794,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p20_N1000.csv,1000,1000,13.625481605529785
1,100,perturbation,sigma_0p20,XGBoost,0.7689812874842863,0.769,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run01_sigma_0p20_N1000.csv,1000,1000,13.625481605529785
2,101,perturbation,sigma_0p00,QSVM_ZZ,0.8259436057282559,0.826,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p00_N1000.csv,1000,1000,13.442530155181885
2,101,perturbation,sigma_0p00,QSVM_Z,0.7991876687101087,0.801,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p00_N1000.csv,1000,1000,13.442530155181885
2,101,perturbation,sigma_0p00,SVM_Linear,0.8024022668572431,0.803,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p00_N1000.csv,1000,1000,13.442530155181885
2,101,perturbation,sigma_0p00,SVM_Poly2,0.8104265402843602,0.811,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p00_N1000.csv,1000,1000,13.442530155181885
2,101,perturbation,sigma_0p00,SVM_RBF,0.8159639289300702,0.816,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p00_N1000.csv,1000,1000,13.442530155181885
2,101,perturbation,sigma_0p00,RandomForest,0.831989247311828,0.832,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p00_N1000.csv,1000,1000,13.442530155181885
2,101,perturbation,sigma_0p00,XGBoost,0.8428854635028936,0.843,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p00_N1000.csv,1000,1000,13.442530155181885
2,101,perturbation,sigma_0p01,QSVM_ZZ,0.8427847723533517,0.843,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p01_N1000.csv,1000,1000,13.672230243682861
2,101,perturbation,sigma_0p01,QSVM_Z,0.7940217852253038,0.796,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p01_N1000.csv,1000,1000,13.672230243682861
2,101,perturbation,sigma_0p01,SVM_Linear,0.8034267925270088,0.804,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p01_N1000.csv,1000,1000,13.672230243682861
2,101,perturbation,sigma_0p01,SVM_Poly2,0.8104265402843602,0.811,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p01_N1000.csv,1000,1000,13.672230243682861
2,101,perturbation,sigma_0p01,SVM_RBF,0.8189476758783288,0.819,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p01_N1000.csv,1000,1000,13.672230243682861
2,101,perturbation,sigma_0p01,RandomForest,0.8309863098911012,0.831,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p01_N1000.csv,1000,1000,13.672230243682861
2,101,perturbation,sigma_0p01,XGBoost,0.8428854635028936,0.843,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p01_N1000.csv,1000,1000,13.672230243682861
2,101,perturbation,sigma_0p05,QSVM_ZZ,0.8387289032864245,0.839,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p05_N1000.csv,1000,1000,13.928685188293457
2,101,perturbation,sigma_0p05,QSVM_Z,0.7992638328906714,0.801,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p05_N1000.csv,1000,1000,13.928685188293457
2,101,perturbation,sigma_0p05,SVM_Linear,0.8075566104304317,0.808,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p05_N1000.csv,1000,1000,13.928685188293457
2,101,perturbation,sigma_0p05,SVM_Poly2,0.807351931898908,0.808,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p05_N1000.csv,1000,1000,13.928685188293457
2,101,perturbation,sigma_0p05,SVM_RBF,0.8288930581613508,0.829,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p05_N1000.csv,1000,1000,13.928685188293457
2,101,perturbation,sigma_0p05,RandomForest,0.827944253938276,0.828,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p05_N1000.csv,1000,1000,13.928685188293457
2,101,perturbation,sigma_0p05,XGBoost,0.8439100922131147,0.844,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p05_N1000.csv,1000,1000,13.928685188293457
2,101,perturbation,sigma_0p10,QSVM_ZZ,0.7804729154700436,0.781,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p10_N1000.csv,1000,1000,14.505770921707153
2,101,perturbation,sigma_0p10,QSVM_Z,0.7942586048312921,0.796,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p10_N1000.csv,1000,1000,14.505770921707153
2,101,perturbation,sigma_0p10,SVM_Linear,0.8074794243634789,0.808,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p10_N1000.csv,1000,1000,14.505770921707153
2,101,perturbation,sigma_0p10,SVM_Poly2,0.8023118475412913,0.803,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p10_N1000.csv,1000,1000,14.505770921707153
2,101,perturbation,sigma_0p10,SVM_RBF,0.8137310276038601,0.814,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p10_N1000.csv,1000,1000,14.505770921707153
2,101,perturbation,sigma_0p10,RandomForest,0.8189042003219704,0.819,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p10_N1000.csv,1000,1000,14.505770921707153
2,101,perturbation,sigma_0p10,XGBoost,0.8008946732821662,0.801,D:\coding\Research\Quantum\SVM\results\nslkdd\c3_revision\eval_subsets\perturbation\run02_sigma_0p10_N1000.csv,1000,1000,14.505770921707153
