feature,f_score,f_pvalue,rank
proto_ipip,46.963172751027805,7.257059530606788e-12,120
proto_il,46.963172751027805,7.257059530606788e-12,121
proto_fc,46.963172751027805,7.257059530606788e-12,122
proto_smp,46.963172751027805,7.257059530606788e-12,123
proto_merit-inp,46.963172751027805,7.257059530606788e-12,124
proto_uti,46.963172751027805,7.257059530606788e-12,125
proto_sprite-rpc,46.963172751027805,7.257059530606788e-12,126
proto_sm,46.963172751027805,7.257059530606788e-12,127
proto_sps,46.963172751027805,7.257059530606788e-12,128
proto_snp,46.963172751027805,7.257059530606788e-12,129
proto_sat-mon,46.963172751027805,7.257059530606788e-12,130
proto_scps,46.963172751027805,7.257059530606788e-12,131
proto_secure-vmtp,46.963172751027805,7.257059530606788e-12,132
proto_skip,46.963172751027805,7.257059530606788e-12,133
proto_rvd,46.963172751027805,7.257059530606788e-12,134
proto_sdrp,46.963172751027805,7.257059530606788e-12,135
proto_sccopmce,46.963172751027805,7.257059530606788e-12,136
proto_sat-expak,46.963172751027805,7.257059530606788e-12,137
proto_dcn,46.49315497014346,9.223491990021136e-12,138
proto_xnet,46.49315497014346,9.223491990021136e-12,139
proto_trunk-1,46.49315497014346,9.223491990021136e-12,140
proto_st2,46.49315497014346,9.223491990021136e-12,141
proto_xns-idp,46.49315497014346,9.223491990021136e-12,142
proto_irtp,46.49315497014346,9.223491990021136e-12,143
proto_nvp,46.49315497014346,9.223491990021136e-12,144
proto_prm,46.49315497014346,9.223491990021136e-12,145
proto_pup,46.49315497014346,9.223491990021136e-12,146
proto_leaf-2,46.49315497014346,9.223491990021136e-12,147
proto_ip,46.49315497014346,9.223491990021136e-12,148
proto_crtp,46.49315497014346,9.223491990021136e-12,149
proto_emcon,46.49315497014346,9.223491990021136e-12,150
proto_chaos,46.49315497014346,9.223491990021136e-12,151
proto_cbt,46.49315497014346,9.223491990021136e-12,152
proto_ipnip,46.49315497014346,9.223491990021136e-12,153
proto_mux,46.49315497014346,9.223491990021136e-12,154
proto_iso-tp4,46.49315497014346,9.223491990021136e-12,155
proto_leaf-1,46.49315497014346,9.223491990021136e-12,156
proto_igp,46.49315497014346,9.223491990021136e-12,157
proto_ggp,46.49315497014346,9.223491990021136e-12,158
proto_trunk-2,46.49315497014346,9.223491990021136e-12,159
proto_netblt,46.023138851472545,1.1723317013875148e-11,160
proto_rdp,46.023138851472545,1.1723317013875148e-11,161
proto_egp,46.023138851472545,1.1723317013875148e-11,162
proto_bbn-rcc,46.023138851472545,1.1723317013875148e-11,163
proto_argus,46.023138851472545,1.1723317013875148e-11,164
proto_hmp,46.023138851472545,1.1723317013875148e-11,165
service_dhcp,44.14316194975305,3.061033423703609e-11,166
ct_flw_http_mthd,43.71394513711124,3.811378013133134e-11,167
proto_igmp,38.3715043613471,5.860932852731678e-10,168
service_snmp,34.68078753794599,3.891510044513872e-09,169
proto_icmp,31.97454027096454,1.564484116270858e-08,170
service_ssl,26.289674288860407,2.9416700777171593e-07,171
state_ECO,25.578260067227667,4.252255606155793e-07,172
is_ftp_login,21.429701115533696,3.6730364970716263e-06,173
ct_ftp_cmd,21.429701115533696,3.6730364970716263e-06,174
smean,20.89520991720455,4.854366476379019e-06,175
service_ftp,20.76860394786487,5.186055319159494e-06,176
trans_depth,20.45077316750349,6.122483561305416e-06,177
service_irc,11.733413526060888,0.0006140194663067202,178
sjit,8.759665341154,0.0030800672248959067,179
state_URN,2.1311031007298253,0.14433864266866167,180
proto_rtp,2.1311031007298253,0.14433864266866167,181
state_PAR,2.1311031007298253,0.14433864266866167,182
state_no,2.1311031007298253,0.14433864266866167,183
service_radius,1.287475511712465,0.2565152545622516,184
service_smtp,1.241731396521473,0.2651391596598539,185
sloss,0.06922081691427803,0.7924749747461943,186
